league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-05T13:00Z,Brighton & Hove Albion,Aston Villa,Brighton & Hove Albion,1.0,0.0,1.0 - 0.0,American Express Stadium,31596,5400.0 + 600.0
English Premier League,2024-04-27T19:00Z,Aston Villa,Chelsea,Draw,2.0,2.0,2.0 - 2.0,Villa Park,42354,5400.0 + 600.0
English Premier League,2024-04-21T14:00Z,Aston Villa,AFC Bournemouth,Aston Villa,3.0,1.0,3.0 - 1.0,Villa Park,42189,5400.0 + 360.0
English Premier League,2024-04-14T15:30Z,Arsenal,Aston Villa,Aston Villa,0.0,2.0,0.0 - 2.0,Emirates Stadium,60350,5400.0 + 540.0
English Premier League,2024-04-06T14:00Z,Aston Villa,Brentford,Draw,3.0,3.0,3.0 - 3.0,Villa Park,42218,5400.0 + 540.0
English Premier League,2024-04-03T19:15Z,Manchester City,Aston Villa,Manchester City,4.0,1.0,4.0 - 1.0,Etihad Stadium,53422,5400.0 + 240.0
English Premier League,2024-03-30T17:30Z,Aston Villa,Wolverhampton Wanderers,Aston Villa,2.0,0.0,2.0 - 0.0,Villa Park,42640,5400.0 + 600.0
English Premier League,2024-03-17T14:00Z,West Ham United,Aston Villa,Draw,1.0,1.0,1.0 - 1.0,London Stadium,62461,5400.0 + 840.0
English Premier League,2024-03-10T13:00Z,Aston Villa,Tottenham Hotspur,Tottenham Hotspur,0.0,4.0,0.0 - 4.0,Villa Park,42310,5400.0 + 660.0
English Premier League,2024-03-02T17:30Z,Luton Town,Aston Villa,Aston Villa,2.0,3.0,2.0 - 3.0,Kenilworth Road,11594,5400.0 + 420.0
English Premier League,2024-02-24T15:00Z,Aston Villa,Nottingham Forest,Aston Villa,4.0,2.0,4.0 - 2.0,Villa Park,42422,5400.0 + 300.0
English Premier League,2024-02-17T15:00Z,Fulham,Aston Villa,Aston Villa,1.0,2.0,1.0 - 2.0,Craven Cottage,24401,5400.0 + 360.0
English Premier League,2024-02-11T16:30Z,Aston Villa,Manchester United,Manchester United,1.0,2.0,1.0 - 2.0,Villa Park,0,5400.0 + 420.0
English Premier League,2024-02-03T17:30Z,Sheffield United,Aston Villa,Aston Villa,0.0,5.0,0.0 - 5.0,Bramall Lane,0,5400.0 + 540.0
English Premier League,2024-01-30T20:15Z,Aston Villa,Newcastle United,Newcastle United,1.0,3.0,1.0 - 3.0,Villa Park,42191,5400.0 + 600.0
English Premier League,2024-01-14T14:00Z,Everton,Aston Villa,Draw,0.0,0.0,0.0 - 0.0,Goodison Park,39284,5400.0 + 480.0
