league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-05T13:00Z,Brighton & Hove Albion,Aston Villa,Brighton & Hove Albion,1.0,0.0,1.0 - 0.0,American Express Stadium,31596,5400.0 + 600.0
English Premier League,2024-04-28T13:00Z,AFC Bournemouth,Brighton & Hove Albion,AFC Bournemouth,3.0,0.0,3.0 - 0.0,Vitality Stadium,11188,5400.0 + 480.0
English Premier League,2024-04-25T19:00Z,Brighton & Hove Albion,Manchester City,Manchester City,0.0,4.0,0.0 - 4.0,American Express Stadium,31596,5400.0 + 360.0
English Premier League,2024-04-13T14:00Z,Burnley,Brighton & Hove Albion,Draw,1.0,1.0,1.0 - 1.0,Turf Moor,20687,5400.0 + 480.0
English Premier League,2024-04-06T16:30Z,Brighton & Hove Albion,Arsenal,Arsenal,0.0,3.0,0.0 - 3.0,American Express Stadium,31677,5400.0 + 360.0
English Premier League,2024-04-03T18:30Z,Brentford,Brighton & Hove Albion,Draw,0.0,0.0,0.0 - 0.0,Gtech Community Stadium,17024,5400.0 + 240.0
English Premier League,2024-03-31T13:00Z,Liverpool,Brighton & Hove Albion,Liverpool,2.0,1.0,2.0 - 1.0,Anfield,60061,5400.0 + 420.0
English Premier League,2024-03-10T14:00Z,Brighton & Hove Albion,Nottingham Forest,Brighton & Hove Albion,1.0,0.0,1.0 - 0.0,American Express Stadium,31505,5400.0 + 480.0
English Premier League,2024-03-02T15:00Z,Fulham,Brighton & Hove Albion,Fulham,3.0,0.0,3.0 - 0.0,Craven Cottage,24460,5400.0 + 300.0
English Premier League,2024-02-24T15:00Z,Brighton & Hove Albion,Everton,Draw,1.0,1.0,1.0 - 1.0,American Express Stadium,31646,5400.0 + 660.0
English Premier League,2024-02-18T14:00Z,Sheffield United,Brighton & Hove Albion,Brighton & Hove Albion,0.0,5.0,0.0 - 5.0,Bramall Lane,29522,5400.0 + 300.0
English Premier League,2024-02-10T15:00Z,Tottenham Hotspur,Brighton & Hove Albion,Tottenham Hotspur,2.0,1.0,2.0 - 1.0,Tottenham Hotspur Stadium,61445,5400.0 + 540.0
English Premier League,2024-02-03T15:00Z,Brighton & Hove Albion,Crystal Palace,Brighton & Hove Albion,4.0,1.0,4.0 - 1.0,American Express Stadium,31345,5400.0 + 300.0
English Premier League,2024-01-30T19:45Z,Luton Town,Brighton & Hove Albion,Luton Town,4.0,0.0,4.0 - 0.0,Kenilworth Road,10994,5400.0 + 240.0
