league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-04T14:00Z,Brentford,Fulham,Draw,0.0,0.0,0.0 - 0.0,Gtech Community Stadium,17090,5400.0 + 420.0
English Premier League,2024-04-27T14:00Z,Fulham,Crystal Palace,Draw,1.0,1.0,1.0 - 1.0,Craven Cottage,24142,5400.0 + 480.0
English Premier League,2024-04-21T15:30Z,Fulham,Liverpool,Liverpool,1.0,3.0,1.0 - 3.0,Craven Cottage,24401,5400.0 + 420.0
English Premier League,2024-04-14T13:00Z,West Ham United,Fulham,Fulham,0.0,2.0,0.0 - 2.0,London Stadium,62459,5400.0 + 780.0
English Premier League,2024-04-06T14:00Z,Fulham,Newcastle United,Newcastle United,0.0,1.0,0.0 - 1.0,Craven Cottage,24418,5400.0 + 660.0
English Premier League,2024-04-02T18:30Z,Nottingham Forest,Fulham,Nottingham Forest,3.0,1.0,3.0 - 1.0,The City Ground,28997,5400.0 + 360.0
English Premier League,2024-03-30T15:00Z,Sheffield United,Fulham,Draw,3.0,3.0,3.0 - 3.0,Bramall Lane,30010,5400.0 + 960.0
English Premier League,2024-03-16T17:30Z,Fulham,Tottenham Hotspur,Fulham,3.0,0.0,3.0 - 0.0,Craven Cottage,24410,5400.0 + 480.0
English Premier League,2024-03-09T15:00Z,Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,2.0,1.0,2.0 - 1.0,Molineux Stadium,30860,5400.0 + 600.0
English Premier League,2024-03-02T15:00Z,Fulham,Brighton & Hove Albion,Fulham,3.0,0.0,3.0 - 0.0,Craven Cottage,24460,5400.0 + 300.0
English Premier League,2024-02-24T15:00Z,Manchester United,Fulham,Fulham,1.0,2.0,1.0 - 2.0,Old Trafford,73487,5400.0 + 660.0
English Premier League,2024-02-17T15:00Z,Fulham,Aston Villa,Aston Villa,1.0,2.0,1.0 - 2.0,Craven Cottage,24401,5400.0 + 360.0
English Premier League,2024-02-10T15:00Z,Fulham,AFC Bournemouth,Fulham,3.0,1.0,3.0 - 1.0,Craven Cottage,24271,5400.0 + 480.0
English Premier League,2024-02-03T15:00Z,Burnley,Fulham,Draw,2.0,2.0,2.0 - 2.0,Turf Moor,20203,5400.0 + 420.0
English Premier League,2024-01-30T19:45Z,Fulham,Everton,Draw,0.0,0.0,0.0 - 0.0,Craven Cottage,24376,5400.0 + 420.0
English Premier League,2024-01-13T12:30Z,Chelsea,Fulham,Chelsea,1.0,0.0,1.0 - 0.0,Stamford Bridge,39643,5400.0 + 420.0
English Premier League,2023-12-31T14:00Z,Fulham,Arsenal,Fulham,2.0,1.0,2.0 - 1.0,Craven Cottage,24444,5400.0 + 420.0
English Premier League,2023-12-26T15:00Z,AFC Bournemouth,Fulham,AFC Bournemouth,3.0,0.0,3.0 - 0.0,Vitality Stadium,11099,5400.0 + 420.0
English Premier League,2023-12-23T15:00Z,Fulham,Burnley,Burnley,0.0,2.0,0.0 - 2.0,Craven Cottage,23598,5400.0 + 420.0
English Premier League,2023-12-16T15:00Z,Newcastle United,Fulham,Newcastle United,3.0,0.0,3.0 - 0.0,St. James' Park,52055,5400.0 + 420.0
English Premier League,2023-12-10T14:00Z,Fulham,West Ham United,Fulham,5.0,0.0,5.0 - 0.0,Craven Cottage,23988,5400.0 + 360.0
English Premier League,2023-12-06T19:30Z,Fulham,Nottingham Forest,Fulham,5.0,0.0,5.0 - 0.0,Craven Cottage,24105,5400.0 + 360.0
English Premier League,2023-12-03T14:00Z,Liverpool,Fulham,Liverpool,4.0,3.0,4.0 - 3.0,Anfield,50143,5400.0 + 480.0
English Premier League,2023-11-27T20:00Z,Fulham,Wolverhampton Wanderers,Fulham,3.0,2.0,3.0 - 2.0,Craven Cottage,24366,5400.0 + 720.0
