league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-03T19:00Z,Luton Town,Everton,Draw,1.0,1.0,1.0 - 1.0,Kenilworth Road,11873,5400.0 + 480.0
English Premier League,2024-04-27T14:00Z,Wolverhampton Wanderers,Luton Town,Wolverhampton Wanderers,2.0,1.0,2.0 - 1.0,Molineux Stadium,31531,5400.0 + 420.0
English Premier League,2024-04-20T14:00Z,Luton Town,Brentford,Brentford,1.0,5.0,1.0 - 5.0,Kenilworth Road,11877,5400.0 + 420.0
English Premier League,2024-04-13T14:00Z,Manchester City,Luton Town,Manchester City,5.0,1.0,5.0 - 1.0,Etihad Stadium,53449,5400.0 + 360.0
English Premier League,2024-04-06T14:00Z,Luton Town,AFC Bournemouth,Luton Town,2.0,1.0,2.0 - 1.0,Kenilworth Road,11797,5400.0 + 420.0
English Premier League,2024-04-03T18:30Z,Arsenal,Luton Town,Arsenal,2.0,0.0,2.0 - 0.0,Emirates Stadium,60262,5400.0 + 240.0
English Premier League,2024-03-30T15:00Z,Tottenham Hotspur,Luton Town,Tottenham Hotspur,2.0,1.0,2.0 - 1.0,Tottenham Hotspur Stadium,61534,5400.0 + 600.0
English Premier League,2024-03-16T15:00Z,Luton Town,Nottingham Forest,Draw,1.0,1.0,1.0 - 1.0,Kenilworth Road,11630,5400.0 + 540.0
English Premier League,2024-03-13T19:30Z,AFC Bournemouth,Luton Town,AFC Bournemouth,4.0,3.0,4.0 - 3.0,Vitality Stadium,11198,5400.0 + 660.0
English Premier League,2024-03-09T15:00Z,Crystal Palace,Luton Town,Draw,1.0,1.0,1.0 - 1.0,Selhurst Park,25103,5400.0 + 480.0
English Premier League,2024-03-02T17:30Z,Luton Town,Aston Villa,Aston Villa,2.0,3.0,2.0 - 3.0,Kenilworth Road,11594,5400.0 + 420.0
English Premier League,2024-02-21T19:30Z,Liverpool,Luton Town,Liverpool,4.0,1.0,4.0 - 1.0,Anfield,59896,5400.0 + 540.0
English Premier League,2024-02-18T16:30Z,Luton Town,Manchester United,Manchester United,1.0,2.0,1.0 - 2.0,Kenilworth Road,11483,5400.0 + 300.0
English Premier League,2024-02-10T15:00Z,Luton Town,Sheffield United,Sheffield United,1.0,3.0,1.0 - 3.0,Kenilworth Road,11138,5400.0 + 600.0
English Premier League,2024-02-03T15:00Z,Newcastle United,Luton Town,Draw,4.0,4.0,4.0 - 4.0,St. James' Park,52211,5400.0 + 660.0
English Premier League,2024-01-30T19:45Z,Luton Town,Brighton & Hove Albion,Luton Town,4.0,0.0,4.0 - 0.0,Kenilworth Road,10994,5400.0 + 240.0
English Premier League,2024-01-12T19:45Z,Burnley,Luton Town,Draw,1.0,1.0,1.0 - 1.0,Turf Moor,20155,5400.0 + 480.0
English Premier League,2023-12-30T12:30Z,Luton Town,Chelsea,Chelsea,2.0,3.0,2.0 - 3.0,Kenilworth Road,11041,5400.0 + 420.0
English Premier League,2023-12-26T15:00Z,Sheffield United,Luton Town,Luton Town,2.0,3.0,2.0 - 3.0,Bramall Lane,31041,5400.0 + 600.0
English Premier League,2023-12-23T15:00Z,Luton Town,Newcastle United,Luton Town,1.0,0.0,1.0 - 0.0,Kenilworth Road,11042,5400.0 + 480.0
English Premier League,2023-12-10T14:00Z,Luton Town,Manchester City,Manchester City,1.0,2.0,1.0 - 2.0,Kenilworth Road,11047,5400.0 + 420.0
English Premier League,2023-12-05T20:15Z,Luton Town,Arsenal,Arsenal,3.0,4.0,3.0 - 4.0,Kenilworth Road,11112,5400.0 + 540.0
English Premier League,2023-12-02T15:00Z,Brentford,Luton Town,Brentford,3.0,1.0,3.0 - 1.0,Gtech Community Stadium,17075,5400.0 + 540.0
English Premier League,2023-11-25T15:00Z,Luton Town,Crystal Palace,Luton Town,2.0,1.0,2.0 - 1.0,Kenilworth Road,11029,5400.0 + 780.0
English Premier League,2023-11-11T15:00Z,Manchester United,Luton Town,Manchester United,1.0,0.0,1.0 - 0.0,Old Trafford,73599,5400.0 + 540.0
English Premier League,2023-11-05T16:30Z,Luton Town,Liverpool,Draw,1.0,1.0,1.0 - 1.0,Kenilworth Road,11049,5400.0 + 600.0
English Premier League,2023-10-29T14:00Z,Aston Villa,Luton Town,Aston Villa,3.0,1.0,3.0 - 1.0,Villa Park,41785,5400.0 + 300.0
English Premier League,2023-10-21T14:00Z,Nottingham Forest,Luton Town,Draw,2.0,2.0,2.0 - 2.0,The City Ground,29361,5400.0 + 540.0
English Premier League,2023-10-07T11:30Z,Luton Town,Tottenham Hotspur,Tottenham Hotspur,0.0,1.0,0.0 - 1.0,Kenilworth Road,10929,5400.0 + 420.0
English Premier League,2023-10-03T18:30Z,Luton Town,Burnley,Burnley,1.0,2.0,1.0 - 2.0,Kenilworth Road,10918,5400.0 + 480.0
English Premier League,2023-09-30T14:00Z,Everton,Luton Town,Luton Town,1.0,2.0,1.0 - 2.0,Goodison Park,39289,5400.0 + 480.0
English Premier League,2023-09-23T14:00Z,Luton Town,Wolverhampton Wanderers,Draw,1.0,1.0,1.0 - 1.0,Kenilworth Road,10893,5400.0 + 540.0
English Premier League,2023-09-16T14:00Z,Fulham,Luton Town,Fulham,1.0,0.0,1.0 - 0.0,Craven Cottage,24467,5400.0 + 300.0
English Premier League,2023-09-01T19:00Z,Luton Town,West Ham United,West Ham United,1.0,2.0,1.0 - 2.0,Kenilworth Road,10802,5400.0 + 420.0
English Premier League,2023-08-25T19:00Z,Chelsea,Luton Town,Chelsea,3.0,0.0,3.0 - 0.0,Stamford Bridge,39893,5400.0 + 300.0
English Premier League,2023-08-12T14:00Z,Brighton & Hove Albion,Luton Town,Brighton & Hove Albion,4.0,1.0,4.0 - 1.0,American Express Stadium,31872,5400.0 + 480.0
