league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-04T14:00Z,Sheffield United,Nottingham Forest,Nottingham Forest,1.0,3.0,1.0 - 3.0,Bramall Lane,28516,5400.0 + 360.0
English Premier League,2024-04-28T15:30Z,Nottingham Forest,Manchester City,Manchester City,0.0,2.0,0.0 - 2.0,The City Ground,29677,5400.0 + 360.0
English Premier League,2024-04-21T12:30Z,Everton,Nottingham Forest,Everton,2.0,0.0,2.0 - 0.0,Goodison Park,39239,5400.0 + 1080.0
English Premier League,2024-04-13T14:00Z,Nottingham Forest,Wolverhampton Wanderers,Draw,2.0,2.0,2.0 - 2.0,The City Ground,29604,5400.0 + 420.0
English Premier League,2024-04-07T17:00Z,Tottenham Hotspur,Nottingham Forest,Tottenham Hotspur,3.0,1.0,3.0 - 1.0,Tottenham Hotspur Stadium,61098,5400.0 + 420.0
English Premier League,2024-04-02T18:30Z,Nottingham Forest,Fulham,Nottingham Forest,3.0,1.0,3.0 - 1.0,The City Ground,28997,5400.0 + 360.0
English Premier League,2024-03-30T15:00Z,Nottingham Forest,Crystal Palace,Draw,1.0,1.0,1.0 - 1.0,The City Ground,29520,5400.0 + 420.0
English Premier League,2024-03-16T15:00Z,Luton Town,Nottingham Forest,Draw,1.0,1.0,1.0 - 1.0,Kenilworth Road,11630,5400.0 + 540.0
English Premier League,2024-03-10T14:00Z,Brighton & Hove Albion,Nottingham Forest,Brighton & Hove Albion,1.0,0.0,1.0 - 0.0,American Express Stadium,31505,5400.0 + 480.0
English Premier League,2024-03-02T15:00Z,Nottingham Forest,Liverpool,Liverpool,0.0,1.0,0.0 - 1.0,The City Ground,29603,5400.0 + 660.0
English Premier League,2024-02-24T15:00Z,Aston Villa,Nottingham Forest,Aston Villa,4.0,2.0,4.0 - 2.0,Villa Park,42422,5400.0 + 300.0
English Premier League,2024-02-17T15:00Z,Nottingham Forest,West Ham United,Nottingham Forest,2.0,0.0,2.0 - 0.0,The City Ground,29490,5400.0 + 420.0
English Premier League,2024-02-10T17:30Z,Nottingham Forest,Newcastle United,Newcastle United,2.0,3.0,2.0 - 3.0,The City Ground,29451,5400.0 + 420.0
English Premier League,2024-02-04T14:00Z,AFC Bournemouth,Nottingham Forest,Draw,1.0,1.0,1.0 - 1.0,Vitality Stadium,11200,5400.0 + 480.0
English Premier League,2024-01-30T19:30Z,Nottingham Forest,Arsenal,Arsenal,1.0,2.0,1.0 - 2.0,The City Ground,29387,5400.0 + 480.0
English Premier League,2024-01-20T17:30Z,Brentford,Nottingham Forest,Brentford,3.0,2.0,3.0 - 2.0,Gtech Community Stadium,17077,5400.0 + 660.0
English Premier League,2023-12-30T17:30Z,Nottingham Forest,Manchester United,Nottingham Forest,2.0,1.0,2.0 - 1.0,The City Ground,29529,5400.0 + 660.0
English Premier League,2023-12-26T12:30Z,Newcastle United,Nottingham Forest,Nottingham Forest,1.0,3.0,1.0 - 3.0,St. James' Park,52207,5400.0 + 420.0
English Premier League,2023-12-23T15:00Z,Nottingham Forest,AFC Bournemouth,AFC Bournemouth,2.0,3.0,2.0 - 3.0,The City Ground,29188,5400.0 + 600.0
English Premier League,2023-12-15T20:00Z,Nottingham Forest,Tottenham Hotspur,Tottenham Hotspur,0.0,2.0,0.0 - 2.0,The City Ground,29296,5400.0 + 540.0
English Premier League,2023-12-09T15:00Z,Wolverhampton Wanderers,Nottingham Forest,Draw,1.0,1.0,1.0 - 1.0,Molineux Stadium,31543,5400.0 + 300.0
English Premier League,2023-12-06T19:30Z,Fulham,Nottingham Forest,Fulham,5.0,0.0,5.0 - 0.0,Craven Cottage,24105,5400.0 + 360.0
English Premier League,2023-12-02T17:30Z,Nottingham Forest,Everton,Everton,0.0,1.0,0.0 - 1.0,The City Ground,29404,5400.0 + 240.0
English Premier League,2023-11-25T15:00Z,Nottingham Forest,Brighton & Hove Albion,Brighton & Hove Albion,2.0,3.0,2.0 - 3.0,The City Ground,29404,5400.0 + 660.0
English Premier League,2023-11-12T14:00Z,West Ham United,Nottingham Forest,West Ham United,3.0,2.0,3.0 - 2.0,London Stadium,62470,5400.0 + 540.0
English Premier League,2023-11-05T14:00Z,Nottingham Forest,Aston Villa,Nottingham Forest,2.0,0.0,2.0 - 0.0,The City Ground,29313,5400.0 + 420.0
English Premier League,2023-10-29T14:00Z,Liverpool,Nottingham Forest,Liverpool,3.0,0.0,3.0 - 0.0,Anfield,50143,5400.0 + 300.0
English Premier League,2023-10-21T14:00Z,Nottingham Forest,Luton Town,Draw,2.0,2.0,2.0 - 2.0,The City Ground,29361,5400.0 + 540.0
English Premier League,2023-10-07T16:30Z,Crystal Palace,Nottingham Forest,Draw,0.0,0.0,0.0 - 0.0,Selhurst Park,25017,5400.0 + 360.0
English Premier League,2023-10-01T13:00Z,Nottingham Forest,Brentford,Draw,1.0,1.0,1.0 - 1.0,The City Ground,29004,5400.0 + 840.0
English Premier League,2023-09-23T14:00Z,Manchester City,Nottingham Forest,Manchester City,2.0,0.0,2.0 - 0.0,Etihad Stadium,53413,5400.0 + 480.0
English Premier League,2023-09-18T18:45Z,Nottingham Forest,Burnley,Draw,1.0,1.0,1.0 - 1.0,The City Ground,28958,5400.0 + 600.0
English Premier League,2023-09-02T14:00Z,Chelsea,Nottingham Forest,Nottingham Forest,0.0,1.0,0.0 - 1.0,Stamford Bridge,39820,5400.0 + 540.0
English Premier League,2023-08-26T14:00Z,Manchester United,Nottingham Forest,Manchester United,3.0,2.0,3.0 - 2.0,Old Trafford,73595,5400.0 + 840.0
English Premier League,2023-08-18T18:45Z,Nottingham Forest,Sheffield United,Nottingham Forest,2.0,1.0,2.0 - 1.0,The City Ground,29432,5400.0 + 540.0
English Premier League,2023-08-12T12:00Z,Arsenal,Nottingham Forest,Arsenal,2.0,1.0,2.0 - 1.0,Emirates Stadium,59984,5400.0 + 540.0
