league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
English Premier League,2024-05-05T13:00Z,Chelsea,West Ham United,Chelsea,5.0,0.0,5.0 - 0.0,Stamford Bridge,39295,5400.0 + 360.0
English Premier League,2024-04-27T11:30Z,West Ham United,Liverpool,Draw,2.0,2.0,2.0 - 2.0,London Stadium,62474,5400.0 + 360.0
English Premier League,2024-04-21T14:00Z,Crystal Palace,West Ham United,Crystal Palace,5.0,2.0,5.0 - 2.0,Selhurst Park,25145,5400.0 + 420.0
English Premier League,2024-04-14T13:00Z,West Ham United,Fulham,Fulham,0.0,2.0,0.0 - 2.0,London Stadium,62459,5400.0 + 780.0
English Premier League,2024-04-06T14:00Z,Wolverhampton Wanderers,West Ham United,West Ham United,1.0,2.0,1.0 - 2.0,Molineux Stadium,31504,5400.0 + 840.0
English Premier League,2024-04-02T19:15Z,West Ham United,Tottenham Hotspur,Draw,1.0,1.0,1.0 - 1.0,London Stadium,62469,5400.0 + 300.0
English Premier League,2024-03-30T12:30Z,Newcastle United,West Ham United,Newcastle United,4.0,3.0,4.0 - 3.0,St. James' Park,52199,5400.0 + 660.0
English Premier League,2024-03-17T14:00Z,West Ham United,Aston Villa,Draw,1.0,1.0,1.0 - 1.0,London Stadium,62461,5400.0 + 840.0
English Premier League,2024-03-10T14:00Z,West Ham United,Burnley,Draw,2.0,2.0,2.0 - 2.0,London Stadium,62441,5400.0 + 540.0
English Premier League,2024-03-02T15:00Z,Everton,West Ham United,West Ham United,1.0,3.0,1.0 - 3.0,Goodison Park,39262,5400.0 + 540.0
English Premier League,2024-02-26T20:00Z,West Ham United,Brentford,West Ham United,4.0,2.0,4.0 - 2.0,London Stadium,62450,5400.0 + 480.0
English Premier League,2024-02-17T15:00Z,Nottingham Forest,West Ham United,Nottingham Forest,2.0,0.0,2.0 - 0.0,The City Ground,29490,5400.0 + 420.0
English Premier League,2024-02-11T14:00Z,West Ham United,Arsenal,Arsenal,0.0,6.0,0.0 - 6.0,London Stadium,62474,5400.0 + 240.0
English Premier League,2024-02-04T14:00Z,Manchester United,West Ham United,Manchester United,3.0,0.0,3.0 - 0.0,Old Trafford,73612,5400.0 + 420.0
English Premier League,2024-02-01T19:30Z,West Ham United,AFC Bournemouth,Draw,1.0,1.0,1.0 - 1.0,London Stadium,62451,5400.0 + 540.0
English Premier League,2024-01-21T14:00Z,Sheffield United,West Ham United,Draw,2.0,2.0,2.0 - 2.0,Bramall Lane,29164,5400.0 + 840.0
English Premier League,2024-01-02T19:30Z,West Ham United,Brighton & Hove Albion,Draw,0.0,0.0,0.0 - 0.0,London Stadium,62462,5400.0 + 360.0
English Premier League,2023-12-28T20:15Z,Arsenal,West Ham United,West Ham United,0.0,2.0,0.0 - 2.0,Emirates Stadium,60261,5400.0 + 360.0
English Premier League,2023-12-23T12:30Z,West Ham United,Manchester United,West Ham United,2.0,0.0,2.0 - 0.0,London Stadium,64472,5400.0 + 420.0
English Premier League,2023-12-17T14:00Z,West Ham United,Wolverhampton Wanderers,West Ham United,3.0,0.0,3.0 - 0.0,London Stadium,62455,5400.0 + 480.0
English Premier League,2023-12-10T14:00Z,Fulham,West Ham United,Fulham,5.0,0.0,5.0 - 0.0,Craven Cottage,23988,5400.0 + 360.0
English Premier League,2023-12-07T20:15Z,Tottenham Hotspur,West Ham United,West Ham United,1.0,2.0,1.0 - 2.0,Tottenham Hotspur Stadium,60733,5400.0 + 360.0
English Premier League,2023-12-03T14:00Z,West Ham United,Crystal Palace,Draw,1.0,1.0,1.0 - 1.0,London Stadium,62459,5400.0 + 420.0
English Premier League,2023-11-25T15:00Z,Burnley,West Ham United,West Ham United,1.0,2.0,1.0 - 2.0,Turf Moor,21319,5400.0 + 540.0
English Premier League,2023-11-12T14:00Z,West Ham United,Nottingham Forest,West Ham United,3.0,2.0,3.0 - 2.0,London Stadium,62470,5400.0 + 540.0
English Premier League,2023-11-04T15:00Z,Brentford,West Ham United,Brentford,3.0,2.0,3.0 - 2.0,Gtech Community Stadium,17103,5400.0 + 360.0
English Premier League,2023-10-29T13:00Z,West Ham United,Everton,Everton,0.0,1.0,0.0 - 1.0,London Stadium,62469,5400.0 + 420.0
English Premier League,2023-10-22T15:30Z,Aston Villa,West Ham United,Aston Villa,4.0,1.0,4.0 - 1.0,Villa Park,41734,5400.0 + 480.0
English Premier League,2023-10-08T13:00Z,West Ham United,Newcastle United,Draw,2.0,2.0,2.0 - 2.0,London Stadium,0,5400.0 + 480.0
English Premier League,2023-09-30T14:00Z,West Ham United,Sheffield United,West Ham United,2.0,0.0,2.0 - 0.0,London Stadium,62459,5400.0 + 480.0
English Premier League,2023-09-24T13:00Z,Liverpool,West Ham United,Liverpool,3.0,1.0,3.0 - 1.0,Anfield,50136,5400.0 + 360.0
English Premier League,2023-09-16T14:00Z,West Ham United,Manchester City,Manchester City,1.0,3.0,1.0 - 3.0,London Stadium,62475,5400.0 + 420.0
English Premier League,2023-09-01T19:00Z,Luton Town,West Ham United,West Ham United,1.0,2.0,1.0 - 2.0,Kenilworth Road,10802,5400.0 + 420.0
English Premier League,2023-08-26T16:30Z,Brighton & Hove Albion,West Ham United,West Ham United,1.0,3.0,1.0 - 3.0,American Express Stadium,31508,5400.0 + 420.0
English Premier League,2023-08-20T15:30Z,West Ham United,Chelsea,West Ham United,3.0,1.0,3.0 - 1.0,London Stadium,62470,5400.0 + 480.0
English Premier League,2023-08-12T14:00Z,AFC Bournemouth,West Ham United,Draw,1.0,1.0,1.0 - 1.0,Vitality Stadium,0,5400.0 + 420.0
