league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-05T17:30Z,1. FC Heidenheim 1846,Mainz,Draw,1.0,1.0,1.0 - 1.0,Voith-Arena,15000,5400.0 + 240.0
German Bundesliga,2024-04-28T17:30Z,SV Darmstadt 98,1. FC Heidenheim 1846,1. FC Heidenheim 1846,0.0,1.0,0.0 - 1.0,Merck-Stadion am Böllenfalltor,17000,5400.0 + 360.0
German Bundesliga,2024-04-20T13:30Z,1. FC Heidenheim 1846,RB Leipzig,RB Leipzig,1.0,2.0,1.0 - 2.0,Voith-Arena,15000,5400.0 + 600.0
German Bundesliga,2024-04-13T13:30Z,VfL Bochum,1. FC Heidenheim 1846,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,24414,5400.0 + 360.0
German Bundesliga,2024-04-06T13:30Z,1. FC Heidenheim 1846,Bayern Munich,1. FC Heidenheim 1846,3.0,2.0,3.0 - 2.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-03-31T15:30Z,VfB Stuttgart,1. FC Heidenheim 1846,Draw,3.0,3.0,3.0 - 3.0,MHPArena,60000,5400.0 + 540.0
German Bundesliga,2024-03-16T14:30Z,1. FC Heidenheim 1846,Borussia Monchengladbach,Draw,1.0,1.0,1.0 - 1.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-03-09T14:30Z,FC Augsburg,1. FC Heidenheim 1846,FC Augsburg,1.0,0.0,1.0 - 0.0,WWK Arena,30660,5400.0 + 360.0
German Bundesliga,2024-03-02T14:30Z,1. FC Heidenheim 1846,Eintracht Frankfurt,Eintracht Frankfurt,1.0,2.0,1.0 - 2.0,Voith-Arena,15000,5400.0 + 480.0
German Bundesliga,2024-02-24T14:30Z,1. FC Union Berlin,1. FC Heidenheim 1846,Draw,2.0,2.0,2.0 - 2.0,An der alten Försterei,21341,5400.0 + 360.0
German Bundesliga,2024-02-17T14:30Z,1. FC Heidenheim 1846,Bayer Leverkusen,Bayer Leverkusen,1.0,2.0,1.0 - 2.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-02-10T14:30Z,Werder Bremen,1. FC Heidenheim 1846,1. FC Heidenheim 1846,1.0,2.0,1.0 - 2.0,wohninvest WESERSTADION,41000,5400.0 + 480.0
German Bundesliga,2024-02-02T19:30Z,1. FC Heidenheim 1846,Borussia Dortmund,Draw,0.0,0.0,0.0 - 0.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-01-27T14:30Z,TSG Hoffenheim,1. FC Heidenheim 1846,Draw,1.0,1.0,1.0 - 1.0,PreZero Arena,20120,5400.0 + 420.0
German Bundesliga,2024-01-20T14:30Z,1. FC Heidenheim 1846,VfL Wolfsburg,Draw,1.0,1.0,1.0 - 1.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-01-13T14:30Z,FC Cologne,1. FC Heidenheim 1846,Draw,1.0,1.0,1.0 - 1.0,RheinEnergieStadion,50000,5400.0 + 240.0
German Bundesliga,2023-12-20T19:30Z,1. FC Heidenheim 1846,SC Freiburg,1. FC Heidenheim 1846,3.0,2.0,3.0 - 2.0,Voith-Arena,15000,5400.0 + 480.0
German Bundesliga,2023-12-16T14:30Z,Mainz,1. FC Heidenheim 1846,1. FC Heidenheim 1846,0.0,1.0,0.0 - 1.0,MEWA ARENA,27200,5400.0 + 360.0
