league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-05T13:30Z,1. FC Union Berlin,VfL Bochum,VfL Bochum,3.0,4.0,3.0 - 4.0,An der alten Försterei,22012,5400.0 + 360.0
German Bundesliga,2024-04-28T13:30Z,Borussia Monchengladbach,1. FC Union Berlin,Draw,0.0,0.0,0.0 - 0.0,Borussia-Park,53723,5400.0 + 240.0
German Bundesliga,2024-04-20T16:30Z,1. FC Union Berlin,Bayern Munich,Bayern Munich,1.0,5.0,1.0 - 5.0,An der alten Försterei,22012,5400.0 + 180.0
German Bundesliga,2024-04-12T18:30Z,FC Augsburg,1. FC Union Berlin,FC Augsburg,2.0,0.0,2.0 - 0.0,WWK Arena,29731,5400.0 + 300.0
German Bundesliga,2024-04-06T13:30Z,1. FC Union Berlin,Bayer Leverkusen,Bayer Leverkusen,0.0,1.0,0.0 - 1.0,An der alten Försterei,22012,5400.0 + 480.0
German Bundesliga,2024-03-30T14:30Z,Eintracht Frankfurt,1. FC Union Berlin,Draw,0.0,0.0,0.0 - 0.0,Deutsche Bank Park,57100,5400.0 + 480.0
German Bundesliga,2024-03-16T14:30Z,1. FC Union Berlin,Werder Bremen,1. FC Union Berlin,2.0,1.0,2.0 - 1.0,An der alten Försterei,22012,5400.0 + 600.0
German Bundesliga,2024-03-08T19:30Z,VfB Stuttgart,1. FC Union Berlin,VfB Stuttgart,2.0,0.0,2.0 - 0.0,MHPArena,53800,5400.0 + 300.0
German Bundesliga,2024-03-02T14:30Z,1. FC Union Berlin,Borussia Dortmund,Borussia Dortmund,0.0,2.0,0.0 - 2.0,An der alten Försterei,22012,5400.0 + 420.0
German Bundesliga,2024-02-24T14:30Z,1. FC Union Berlin,1. FC Heidenheim 1846,Draw,2.0,2.0,2.0 - 2.0,An der alten Försterei,21341,5400.0 + 360.0
German Bundesliga,2024-02-17T14:30Z,TSG Hoffenheim,1. FC Union Berlin,1. FC Union Berlin,0.0,1.0,0.0 - 1.0,PreZero Arena,19050,5400.0 + 300.0
German Bundesliga,2024-02-10T14:30Z,1. FC Union Berlin,VfL Wolfsburg,1. FC Union Berlin,1.0,0.0,1.0 - 0.0,An der alten Försterei,22000,5400.0 + 360.0
German Bundesliga,2024-02-07T17:30Z,Mainz,1. FC Union Berlin,Draw,1.0,1.0,1.0 - 1.0,MEWA ARENA,26200,5400.0 + 300.0
German Bundesliga,2024-02-04T16:30Z,RB Leipzig,1. FC Union Berlin,RB Leipzig,2.0,0.0,2.0 - 0.0,Red Bull Arena,44032,5400.0 + 300.0
German Bundesliga,2024-01-28T14:30Z,1. FC Union Berlin,SV Darmstadt 98,1. FC Union Berlin,1.0,0.0,1.0 - 0.0,An der alten Försterei,21786,5400.0 + 360.0
