league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-05T15:30Z,Eintracht Frankfurt,Bayer Leverkusen,Bayer Leverkusen,1.0,5.0,1.0 - 5.0,Deutsche Bank Park,58000,5400.0 + 360.0
German Bundesliga,2024-04-27T16:30Z,Bayer Leverkusen,VfB Stuttgart,Draw,2.0,2.0,2.0 - 2.0,BayArena,30210,5400.0 + 480.0
German Bundesliga,2024-04-21T15:30Z,Borussia Dortmund,Bayer Leverkusen,Draw,1.0,1.0,1.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 540.0
German Bundesliga,2024-04-14T15:30Z,Bayer Leverkusen,Werder Bremen,Bayer Leverkusen,5.0,0.0,5.0 - 0.0,BayArena,30210,5400.0 + 60.0
German Bundesliga,2024-04-06T13:30Z,1. FC Union Berlin,Bayer Leverkusen,Bayer Leverkusen,0.0,1.0,0.0 - 1.0,An der alten Försterei,22012,5400.0 + 480.0
German Bundesliga,2024-03-30T14:30Z,Bayer Leverkusen,TSG Hoffenheim,Bayer Leverkusen,2.0,1.0,2.0 - 1.0,BayArena,30210,5400.0 + 420.0
German Bundesliga,2024-03-17T14:30Z,SC Freiburg,Bayer Leverkusen,Bayer Leverkusen,2.0,3.0,2.0 - 3.0,Europa-Park Stadion,34700,5400.0 + 300.0
German Bundesliga,2024-03-10T18:30Z,Bayer Leverkusen,VfL Wolfsburg,Bayer Leverkusen,2.0,0.0,2.0 - 0.0,BayArena,29314,5400.0 + 60.0
German Bundesliga,2024-03-03T14:30Z,FC Cologne,Bayer Leverkusen,Bayer Leverkusen,0.0,2.0,0.0 - 2.0,RheinEnergieStadion,50000,5400.0 + 180.0
German Bundesliga,2024-02-23T19:30Z,Bayer Leverkusen,Mainz,Bayer Leverkusen,2.0,1.0,2.0 - 1.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2024-02-17T14:30Z,1. FC Heidenheim 1846,Bayer Leverkusen,Bayer Leverkusen,1.0,2.0,1.0 - 2.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-02-10T17:30Z,Bayer Leverkusen,Bayern Munich,Bayer Leverkusen,3.0,0.0,3.0 - 0.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2024-02-03T14:30Z,SV Darmstadt 98,Bayer Leverkusen,Bayer Leverkusen,0.0,2.0,0.0 - 2.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 300.0
German Bundesliga,2024-01-27T17:30Z,Bayer Leverkusen,Borussia Monchengladbach,Draw,0.0,0.0,0.0 - 0.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2024-01-20T17:30Z,RB Leipzig,Bayer Leverkusen,Bayer Leverkusen,2.0,3.0,2.0 - 3.0,Red Bull Arena,46529,5400.0 + 300.0
German Bundesliga,2024-01-13T14:30Z,FC Augsburg,Bayer Leverkusen,Bayer Leverkusen,0.0,1.0,0.0 - 1.0,WWK Arena,30055,5400.0 + 360.0
German Bundesliga,2023-12-20T19:30Z,Bayer Leverkusen,VfL Bochum,Bayer Leverkusen,4.0,0.0,4.0 - 0.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2023-12-17T16:30Z,Bayer Leverkusen,Eintracht Frankfurt,Bayer Leverkusen,3.0,0.0,3.0 - 0.0,BayArena,30210,5400.0 + 360.0
German Bundesliga,2023-12-10T14:30Z,VfB Stuttgart,Bayer Leverkusen,Draw,1.0,1.0,1.0 - 1.0,MHPArena,54500,5400.0 + 360.0
German Bundesliga,2023-12-03T16:30Z,Bayer Leverkusen,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2023-11-25T14:30Z,Werder Bremen,Bayer Leverkusen,Bayer Leverkusen,0.0,3.0,0.0 - 3.0,wohninvest WESERSTADION,42100,5400.0 + 240.0
German Bundesliga,2023-11-12T14:30Z,Bayer Leverkusen,1. FC Union Berlin,Bayer Leverkusen,4.0,0.0,4.0 - 0.0,BayArena,29387,5400.0 + 120.0
German Bundesliga,2023-11-04T14:30Z,TSG Hoffenheim,Bayer Leverkusen,Bayer Leverkusen,2.0,3.0,2.0 - 3.0,PreZero Arena,30150,5400.0 + 360.0
German Bundesliga,2023-10-29T16:30Z,Bayer Leverkusen,SC Freiburg,Bayer Leverkusen,2.0,1.0,2.0 - 1.0,BayArena,30210,5400.0 + 360.0
