league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,VfB Stuttgart,Bayern Munich,VfB Stuttgart,3.0,1.0,3.0 - 1.0,MHPArena,60000,5400.0 + 300.0
German Bundesliga,2024-04-27T13:30Z,Bayern Munich,Eintracht Frankfurt,Bayern Munich,2.0,1.0,2.0 - 1.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2024-04-20T16:30Z,1. FC Union Berlin,Bayern Munich,Bayern Munich,1.0,5.0,1.0 - 5.0,An der alten Försterei,22012,5400.0 + 180.0
German Bundesliga,2024-04-13T13:30Z,Bayern Munich,FC Cologne,Bayern Munich,2.0,0.0,2.0 - 0.0,Allianz Arena,75000,5400.0 + 300.0
German Bundesliga,2024-04-06T13:30Z,1. FC Heidenheim 1846,Bayern Munich,1. FC Heidenheim 1846,3.0,2.0,3.0 - 2.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-03-30T17:30Z,Bayern Munich,Borussia Dortmund,Borussia Dortmund,0.0,2.0,0.0 - 2.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2024-03-16T14:30Z,SV Darmstadt 98,Bayern Munich,Bayern Munich,2.0,5.0,2.0 - 5.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 540.0
German Bundesliga,2024-03-09T14:30Z,Bayern Munich,Mainz,Bayern Munich,8.0,1.0,8.0 - 1.0,Allianz Arena,75000,5400.0 + 240.0
German Bundesliga,2024-03-01T19:30Z,SC Freiburg,Bayern Munich,Draw,2.0,2.0,2.0 - 2.0,Europa-Park Stadion,34700,5400.0 + 240.0
German Bundesliga,2024-02-24T17:30Z,Bayern Munich,RB Leipzig,Bayern Munich,2.0,1.0,2.0 - 1.0,Allianz Arena,75000,5400.0 + 300.0
German Bundesliga,2024-02-18T16:30Z,VfL Bochum,Bayern Munich,VfL Bochum,3.0,2.0,3.0 - 2.0,Vonovia Ruhrstadion,26000,5400.0 + 480.0
German Bundesliga,2024-02-10T17:30Z,Bayer Leverkusen,Bayern Munich,Bayer Leverkusen,3.0,0.0,3.0 - 0.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2024-02-03T14:30Z,Bayern Munich,Borussia Monchengladbach,Bayern Munich,3.0,1.0,3.0 - 1.0,Allianz Arena,75000,5400.0 + 300.0
German Bundesliga,2024-01-27T14:30Z,FC Augsburg,Bayern Munich,Bayern Munich,2.0,3.0,2.0 - 3.0,WWK Arena,30660,5400.0 + 540.0
German Bundesliga,2024-01-24T19:30Z,Bayern Munich,1. FC Union Berlin,Bayern Munich,1.0,0.0,1.0 - 0.0,Allianz Arena,75000,5400.0 + 420.0
German Bundesliga,2024-01-21T14:30Z,Bayern Munich,Werder Bremen,Werder Bremen,0.0,1.0,0.0 - 1.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2024-01-12T19:30Z,Bayern Munich,TSG Hoffenheim,Bayern Munich,3.0,0.0,3.0 - 0.0,Allianz Arena,75000,5400.0 + 180.0
German Bundesliga,2023-12-20T19:30Z,VfL Wolfsburg,Bayern Munich,Bayern Munich,1.0,2.0,1.0 - 2.0,Volkswagen Arena,28917,5400.0 + 300.0
German Bundesliga,2023-12-17T18:30Z,Bayern Munich,VfB Stuttgart,Bayern Munich,3.0,0.0,3.0 - 0.0,Allianz Arena,75000,5400.0 + 180.0
German Bundesliga,2023-12-09T14:30Z,Eintracht Frankfurt,Bayern Munich,Eintracht Frankfurt,5.0,1.0,5.0 - 1.0,Deutsche Bank Park,58000,5400.0 + 180.0
German Bundesliga,2023-11-24T19:30Z,FC Cologne,Bayern Munich,Bayern Munich,0.0,1.0,0.0 - 1.0,RheinEnergieStadion,50000,5400.0 + 240.0
German Bundesliga,2023-11-11T14:30Z,Bayern Munich,1. FC Heidenheim 1846,Bayern Munich,4.0,2.0,4.0 - 2.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2023-11-04T17:30Z,Borussia Dortmund,Bayern Munich,Bayern Munich,0.0,4.0,0.0 - 4.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2023-10-28T13:30Z,Bayern Munich,SV Darmstadt 98,Bayern Munich,8.0,0.0,8.0 - 0.0,Allianz Arena,75000,5400.0 + 120.0
German Bundesliga,2023-10-21T16:30Z,Mainz,Bayern Munich,Bayern Munich,1.0,3.0,1.0 - 3.0,MEWA ARENA,33305,5400.0 + 360.0
