league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,Borussia Dortmund,FC Augsburg,Borussia Dortmund,5.0,1.0,5.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 180.0
German Bundesliga,2024-04-27T13:30Z,RB Leipzig,Borussia Dortmund,RB Leipzig,4.0,1.0,4.0 - 1.0,Red Bull Arena,47069,5400.0 + 240.0
German Bundesliga,2024-04-21T15:30Z,Borussia Dortmund,Bayer Leverkusen,Draw,1.0,1.0,1.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 540.0
German Bundesliga,2024-04-13T13:30Z,Borussia Monchengladbach,Borussia Dortmund,Borussia Dortmund,1.0,2.0,1.0 - 2.0,Borussia-Park,54042,5400.0 + 480.0
German Bundesliga,2024-04-06T16:30Z,Borussia Dortmund,VfB Stuttgart,VfB Stuttgart,0.0,1.0,0.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 600.0
German Bundesliga,2024-03-30T17:30Z,Bayern Munich,Borussia Dortmund,Borussia Dortmund,0.0,2.0,0.0 - 2.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2024-03-17T16:30Z,Borussia Dortmund,Eintracht Frankfurt,Borussia Dortmund,3.0,1.0,3.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
German Bundesliga,2024-03-09T17:30Z,Werder Bremen,Borussia Dortmund,Borussia Dortmund,1.0,2.0,1.0 - 2.0,wohninvest WESERSTADION,42100,5400.0 + 360.0
German Bundesliga,2024-03-02T14:30Z,1. FC Union Berlin,Borussia Dortmund,Borussia Dortmund,0.0,2.0,0.0 - 2.0,An der alten Försterei,22012,5400.0 + 420.0
German Bundesliga,2024-02-25T16:30Z,Borussia Dortmund,TSG Hoffenheim,TSG Hoffenheim,2.0,3.0,2.0 - 3.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
German Bundesliga,2024-02-17T14:30Z,VfL Wolfsburg,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,Volkswagen Arena,28917,5400.0 + 540.0
German Bundesliga,2024-02-09T19:30Z,Borussia Dortmund,SC Freiburg,Borussia Dortmund,3.0,0.0,3.0 - 0.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2024-02-02T19:30Z,1. FC Heidenheim 1846,Borussia Dortmund,Draw,0.0,0.0,0.0 - 0.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2024-01-28T16:30Z,Borussia Dortmund,VfL Bochum,Borussia Dortmund,3.0,1.0,3.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
German Bundesliga,2024-01-20T14:30Z,FC Cologne,Borussia Dortmund,Borussia Dortmund,0.0,4.0,0.0 - 4.0,RheinEnergieStadion,50000,5400.0 + 300.0
German Bundesliga,2024-01-13T17:30Z,SV Darmstadt 98,Borussia Dortmund,Borussia Dortmund,0.0,3.0,0.0 - 3.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 300.0
German Bundesliga,2023-12-19T19:30Z,Borussia Dortmund,Mainz,Draw,1.0,1.0,1.0 - 1.0,SIGNAL IDUNA PARK,80350,5400.0 + 360.0
German Bundesliga,2023-12-16T14:30Z,FC Augsburg,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,WWK Arena,30660,5400.0 + 420.0
German Bundesliga,2023-12-09T17:30Z,Borussia Dortmund,RB Leipzig,RB Leipzig,2.0,3.0,2.0 - 3.0,SIGNAL IDUNA PARK,81365,5400.0 + 360.0
German Bundesliga,2023-12-03T16:30Z,Bayer Leverkusen,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2023-11-25T14:30Z,Borussia Dortmund,Borussia Monchengladbach,Borussia Dortmund,4.0,2.0,4.0 - 2.0,SIGNAL IDUNA PARK,81365,5400.0 + 480.0
German Bundesliga,2023-11-11T14:30Z,VfB Stuttgart,Borussia Dortmund,VfB Stuttgart,2.0,1.0,2.0 - 1.0,MHPArena,55000,5400.0 + 360.0
German Bundesliga,2023-11-04T17:30Z,Borussia Dortmund,Bayern Munich,Bayern Munich,0.0,4.0,0.0 - 4.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2023-10-29T14:30Z,Eintracht Frankfurt,Borussia Dortmund,Draw,3.0,3.0,3.0 - 3.0,Deutsche Bank Park,56500,5400.0 + 360.0
German Bundesliga,2023-10-20T18:30Z,Borussia Dortmund,Werder Bremen,Borussia Dortmund,1.0,0.0,1.0 - 0.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2023-10-07T13:30Z,Borussia Dortmund,1. FC Union Berlin,Borussia Dortmund,4.0,2.0,4.0 - 2.0,SIGNAL IDUNA PARK,81365,5400.0 + 360.0
German Bundesliga,2023-09-29T18:30Z,TSG Hoffenheim,Borussia Dortmund,Borussia Dortmund,1.0,3.0,1.0 - 3.0,PreZero Arena,30150,5400.0 + 420.0
German Bundesliga,2023-09-23T13:30Z,Borussia Dortmund,VfL Wolfsburg,Borussia Dortmund,1.0,0.0,1.0 - 0.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2023-09-16T13:30Z,SC Freiburg,Borussia Dortmund,Borussia Dortmund,2.0,4.0,2.0 - 4.0,Europa-Park Stadion,34700,5400.0 + 300.0
German Bundesliga,2023-09-01T18:30Z,Borussia Dortmund,1. FC Heidenheim 1846,Draw,2.0,2.0,2.0 - 2.0,SIGNAL IDUNA PARK,81365,5400.0 + 720.0
German Bundesliga,2023-08-26T13:30Z,VfL Bochum,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 360.0
German Bundesliga,2023-08-19T16:30Z,Borussia Dortmund,FC Cologne,Borussia Dortmund,1.0,0.0,1.0 - 0.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
