league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,Borussia Dortmund,FC Augsburg,Borussia Dortmund,5.0,1.0,5.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 180.0
German Bundesliga,2024-04-27T13:30Z,FC Augsburg,Werder Bremen,Werder Bremen,0.0,3.0,0.0 - 3.0,WWK Arena,30660,5400.0 + 360.0
German Bundesliga,2024-04-19T18:30Z,Eintracht Frankfurt,FC Augsburg,Eintracht Frankfurt,3.0,1.0,3.0 - 1.0,Deutsche Bank Park,57600,5400.0 + 420.0
German Bundesliga,2024-04-12T18:30Z,FC Augsburg,1. FC Union Berlin,FC Augsburg,2.0,0.0,2.0 - 0.0,WWK Arena,29731,5400.0 + 300.0
German Bundesliga,2024-04-07T13:30Z,TSG Hoffenheim,FC Augsburg,TSG Hoffenheim,3.0,1.0,3.0 - 1.0,PreZero Arena,28881,5400.0 + 240.0
German Bundesliga,2024-03-31T13:30Z,FC Augsburg,FC Cologne,Draw,1.0,1.0,1.0 - 1.0,WWK Arena,30660,5400.0 + 360.0
German Bundesliga,2024-03-16T14:30Z,VfL Wolfsburg,FC Augsburg,FC Augsburg,1.0,3.0,1.0 - 3.0,Volkswagen Arena,21735,5400.0 + 240.0
German Bundesliga,2024-03-09T14:30Z,FC Augsburg,1. FC Heidenheim 1846,FC Augsburg,1.0,0.0,1.0 - 0.0,WWK Arena,30660,5400.0 + 360.0
German Bundesliga,2024-03-02T14:30Z,SV Darmstadt 98,FC Augsburg,FC Augsburg,0.0,6.0,0.0 - 6.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 60.0
German Bundesliga,2024-02-25T18:30Z,FC Augsburg,SC Freiburg,FC Augsburg,2.0,1.0,2.0 - 1.0,WWK Arena,28894,5400.0 + 300.0
German Bundesliga,2024-02-17T14:30Z,Mainz,FC Augsburg,Mainz,1.0,0.0,1.0 - 0.0,MEWA ARENA,24800,5400.0 + 960.0
German Bundesliga,2024-02-10T14:30Z,FC Augsburg,RB Leipzig,Draw,2.0,2.0,2.0 - 2.0,WWK Arena,28510,5400.0 + 300.0
German Bundesliga,2024-02-03T14:30Z,VfL Bochum,FC Augsburg,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,24500,5400.0 + 420.0
German Bundesliga,2024-01-27T14:30Z,FC Augsburg,Bayern Munich,Bayern Munich,2.0,3.0,2.0 - 3.0,WWK Arena,30660,5400.0 + 540.0
German Bundesliga,2024-01-21T16:30Z,Borussia Monchengladbach,FC Augsburg,FC Augsburg,1.0,2.0,1.0 - 2.0,Borussia-Park,44867,5400.0 + 360.0
German Bundesliga,2024-01-13T14:30Z,FC Augsburg,Bayer Leverkusen,Bayer Leverkusen,0.0,1.0,0.0 - 1.0,WWK Arena,30055,5400.0 + 360.0
German Bundesliga,2023-12-20T19:30Z,VfB Stuttgart,FC Augsburg,VfB Stuttgart,3.0,0.0,3.0 - 0.0,MHPArena,53600,5400.0 + 240.0
German Bundesliga,2023-12-16T14:30Z,FC Augsburg,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,WWK Arena,30660,5400.0 + 420.0
German Bundesliga,2023-12-09T14:30Z,Werder Bremen,FC Augsburg,Werder Bremen,2.0,0.0,2.0 - 0.0,wohninvest WESERSTADION,41000,5400.0 + 300.0
German Bundesliga,2023-12-03T18:30Z,FC Augsburg,Eintracht Frankfurt,FC Augsburg,2.0,1.0,2.0 - 1.0,WWK Arena,26107,5400.0 + 420.0
German Bundesliga,2023-11-25T14:30Z,1. FC Union Berlin,FC Augsburg,Draw,1.0,1.0,1.0 - 1.0,An der alten Försterei,22012,5400.0 + 360.0
