league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,VfL Wolfsburg,SV Darmstadt 98,VfL Wolfsburg,3.0,0.0,3.0 - 0.0,Volkswagen Arena,23108,5400.0 + 300.0
German Bundesliga,2024-04-28T17:30Z,SV Darmstadt 98,1. FC Heidenheim 1846,1. FC Heidenheim 1846,0.0,1.0,0.0 - 1.0,Merck-Stadion am Böllenfalltor,17000,5400.0 + 360.0
German Bundesliga,2024-04-20T13:30Z,FC Cologne,SV Darmstadt 98,SV Darmstadt 98,0.0,2.0,0.0 - 2.0,RheinEnergieStadion,50000,5400.0 + 360.0
German Bundesliga,2024-04-14T13:30Z,SV Darmstadt 98,SC Freiburg,SC Freiburg,0.0,1.0,0.0 - 1.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 420.0
German Bundesliga,2024-04-06T13:30Z,Mainz,SV Darmstadt 98,Mainz,4.0,0.0,4.0 - 0.0,MEWA ARENA,33000,5400.0 + 300.0
German Bundesliga,2024-03-31T17:30Z,VfL Bochum,SV Darmstadt 98,Draw,2.0,2.0,2.0 - 2.0,Vonovia Ruhrstadion,25023,5400.0 + 300.0
German Bundesliga,2024-03-16T14:30Z,SV Darmstadt 98,Bayern Munich,Bayern Munich,2.0,5.0,2.0 - 5.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 540.0
German Bundesliga,2024-03-09T14:30Z,RB Leipzig,SV Darmstadt 98,RB Leipzig,2.0,0.0,2.0 - 0.0,Red Bull Arena,40000,5400.0 + 240.0
German Bundesliga,2024-03-02T14:30Z,SV Darmstadt 98,FC Augsburg,FC Augsburg,0.0,6.0,0.0 - 6.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 60.0
German Bundesliga,2024-02-24T14:30Z,Werder Bremen,SV Darmstadt 98,Draw,1.0,1.0,1.0 - 1.0,wohninvest WESERSTADION,42358,5400.0 + 540.0
German Bundesliga,2024-02-17T14:30Z,SV Darmstadt 98,VfB Stuttgart,VfB Stuttgart,1.0,2.0,1.0 - 2.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 540.0
German Bundesliga,2024-02-10T14:30Z,Borussia Monchengladbach,SV Darmstadt 98,Draw,0.0,0.0,0.0 - 0.0,Borussia-Park,46121,5400.0 + 300.0
German Bundesliga,2024-02-03T14:30Z,SV Darmstadt 98,Bayer Leverkusen,Bayer Leverkusen,0.0,2.0,0.0 - 2.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 300.0
German Bundesliga,2024-01-28T14:30Z,1. FC Union Berlin,SV Darmstadt 98,1. FC Union Berlin,1.0,0.0,1.0 - 0.0,An der alten Försterei,21786,5400.0 + 360.0
German Bundesliga,2024-01-20T14:30Z,SV Darmstadt 98,Eintracht Frankfurt,Draw,2.0,2.0,2.0 - 2.0,Merck-Stadion am Böllenfalltor,17750,5400.0 + 480.0
German Bundesliga,2024-01-13T17:30Z,SV Darmstadt 98,Borussia Dortmund,Borussia Dortmund,0.0,3.0,0.0 - 3.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 300.0
German Bundesliga,2023-12-19T19:30Z,TSG Hoffenheim,SV Darmstadt 98,Draw,3.0,3.0,3.0 - 3.0,PreZero Arena,18125,5400.0 + 420.0
