league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-03T18:30Z,TSG Hoffenheim,RB Leipzig,Draw,1.0,1.0,1.0 - 1.0,PreZero Arena,25066,5400.0 + 360.0
German Bundesliga,2024-04-26T18:30Z,VfL Bochum,TSG Hoffenheim,VfL Bochum,3.0,2.0,3.0 - 2.0,Vonovia Ruhrstadion,24300,5400.0 + 420.0
German Bundesliga,2024-04-20T13:30Z,TSG Hoffenheim,Borussia Monchengladbach,TSG Hoffenheim,4.0,3.0,4.0 - 3.0,PreZero Arena,26078,5400.0 + 360.0
German Bundesliga,2024-04-13T13:30Z,Mainz,TSG Hoffenheim,Mainz,4.0,1.0,4.0 - 1.0,MEWA ARENA,31000,5400.0 + 120.0
German Bundesliga,2024-04-07T13:30Z,TSG Hoffenheim,FC Augsburg,TSG Hoffenheim,3.0,1.0,3.0 - 1.0,PreZero Arena,28881,5400.0 + 240.0
German Bundesliga,2024-03-30T14:30Z,Bayer Leverkusen,TSG Hoffenheim,Bayer Leverkusen,2.0,1.0,2.0 - 1.0,BayArena,30210,5400.0 + 420.0
German Bundesliga,2024-03-16T17:30Z,TSG Hoffenheim,VfB Stuttgart,VfB Stuttgart,0.0,3.0,0.0 - 3.0,PreZero Arena,30150,5400.0 + 240.0
German Bundesliga,2024-03-10T16:30Z,Eintracht Frankfurt,TSG Hoffenheim,Eintracht Frankfurt,3.0,1.0,3.0 - 1.0,Deutsche Bank Park,57000,5400.0 + 300.0
German Bundesliga,2024-03-03T16:30Z,TSG Hoffenheim,Werder Bremen,TSG Hoffenheim,2.0,1.0,2.0 - 1.0,PreZero Arena,25000,5400.0 + 420.0
German Bundesliga,2024-02-25T16:30Z,Borussia Dortmund,TSG Hoffenheim,TSG Hoffenheim,2.0,3.0,2.0 - 3.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
