league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,VfB Stuttgart,Bayern Munich,VfB Stuttgart,3.0,1.0,3.0 - 1.0,MHPArena,60000,5400.0 + 300.0
German Bundesliga,2024-04-27T16:30Z,Bayer Leverkusen,VfB Stuttgart,Draw,2.0,2.0,2.0 - 2.0,BayArena,30210,5400.0 + 480.0
German Bundesliga,2024-04-21T13:30Z,Werder Bremen,VfB Stuttgart,Werder Bremen,2.0,1.0,2.0 - 1.0,wohninvest WESERSTADION,42100,5400.0 + 660.0
German Bundesliga,2024-04-13T16:30Z,VfB Stuttgart,Eintracht Frankfurt,VfB Stuttgart,3.0,0.0,3.0 - 0.0,MHPArena,60000,5400.0 + 240.0
German Bundesliga,2024-04-06T16:30Z,Borussia Dortmund,VfB Stuttgart,VfB Stuttgart,0.0,1.0,0.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 600.0
German Bundesliga,2024-03-31T15:30Z,VfB Stuttgart,1. FC Heidenheim 1846,Draw,3.0,3.0,3.0 - 3.0,MHPArena,60000,5400.0 + 540.0
German Bundesliga,2024-03-16T17:30Z,TSG Hoffenheim,VfB Stuttgart,VfB Stuttgart,0.0,3.0,0.0 - 3.0,PreZero Arena,30150,5400.0 + 240.0
German Bundesliga,2024-03-08T19:30Z,VfB Stuttgart,1. FC Union Berlin,VfB Stuttgart,2.0,0.0,2.0 - 0.0,MHPArena,53800,5400.0 + 300.0
German Bundesliga,2024-03-02T17:30Z,VfL Wolfsburg,VfB Stuttgart,VfB Stuttgart,2.0,3.0,2.0 - 3.0,Volkswagen Arena,28917,5400.0 + 480.0
German Bundesliga,2024-02-24T14:30Z,VfB Stuttgart,FC Cologne,Draw,1.0,1.0,1.0 - 1.0,MHPArena,54500,5400.0 + 360.0
