league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-05T13:30Z,1. FC Union Berlin,VfL Bochum,VfL Bochum,3.0,4.0,3.0 - 4.0,An der alten Försterei,22012,5400.0 + 360.0
German Bundesliga,2024-04-26T18:30Z,VfL Bochum,TSG Hoffenheim,VfL Bochum,3.0,2.0,3.0 - 2.0,Vonovia Ruhrstadion,24300,5400.0 + 420.0
German Bundesliga,2024-04-20T13:30Z,VfL Wolfsburg,VfL Bochum,VfL Wolfsburg,1.0,0.0,1.0 - 0.0,Volkswagen Arena,26327,5400.0 + 480.0
German Bundesliga,2024-04-13T13:30Z,VfL Bochum,1. FC Heidenheim 1846,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,24414,5400.0 + 360.0
German Bundesliga,2024-04-06T13:30Z,FC Cologne,VfL Bochum,FC Cologne,2.0,1.0,2.0 - 1.0,RheinEnergieStadion,50000,5400.0 + 360.0
German Bundesliga,2024-03-31T17:30Z,VfL Bochum,SV Darmstadt 98,Draw,2.0,2.0,2.0 - 2.0,Vonovia Ruhrstadion,25023,5400.0 + 300.0
German Bundesliga,2024-03-16T14:30Z,Mainz,VfL Bochum,Mainz,2.0,0.0,2.0 - 0.0,MEWA ARENA,33000,5400.0 + 420.0
German Bundesliga,2024-03-10T14:30Z,VfL Bochum,SC Freiburg,SC Freiburg,1.0,2.0,1.0 - 2.0,Vonovia Ruhrstadion,25594,5400.0 + 360.0
German Bundesliga,2024-03-02T14:30Z,VfL Bochum,RB Leipzig,RB Leipzig,1.0,4.0,1.0 - 4.0,Vonovia Ruhrstadion,24200,5400.0 + 360.0
German Bundesliga,2024-02-24T14:30Z,Borussia Monchengladbach,VfL Bochum,Borussia Monchengladbach,5.0,2.0,5.0 - 2.0,Borussia-Park,53196,5400.0 + 420.0
German Bundesliga,2024-02-18T16:30Z,VfL Bochum,Bayern Munich,VfL Bochum,3.0,2.0,3.0 - 2.0,Vonovia Ruhrstadion,26000,5400.0 + 480.0
German Bundesliga,2024-02-10T14:30Z,Eintracht Frankfurt,VfL Bochum,Draw,1.0,1.0,1.0 - 1.0,Deutsche Bank Park,57500,5400.0 + 180.0
German Bundesliga,2024-02-03T14:30Z,VfL Bochum,FC Augsburg,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,24500,5400.0 + 420.0
German Bundesliga,2024-01-28T16:30Z,Borussia Dortmund,VfL Bochum,Borussia Dortmund,3.0,1.0,3.0 - 1.0,SIGNAL IDUNA PARK,81365,5400.0 + 420.0
German Bundesliga,2024-01-20T14:30Z,VfL Bochum,VfB Stuttgart,VfL Bochum,1.0,0.0,1.0 - 0.0,Vonovia Ruhrstadion,26000,5400.0 + 480.0
German Bundesliga,2024-01-14T14:30Z,VfL Bochum,Werder Bremen,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 420.0
German Bundesliga,2023-12-20T19:30Z,Bayer Leverkusen,VfL Bochum,Bayer Leverkusen,4.0,0.0,4.0 - 0.0,BayArena,30210,5400.0 + 300.0
German Bundesliga,2023-12-16T14:30Z,VfL Bochum,1. FC Union Berlin,VfL Bochum,3.0,0.0,3.0 - 0.0,Vonovia Ruhrstadion,25300,5400.0 + 300.0
German Bundesliga,2023-12-08T19:30Z,TSG Hoffenheim,VfL Bochum,TSG Hoffenheim,3.0,1.0,3.0 - 1.0,PreZero Arena,16023,5400.0 + 360.0
German Bundesliga,2023-12-02T14:30Z,VfL Bochum,VfL Wolfsburg,VfL Bochum,3.0,1.0,3.0 - 1.0,Vonovia Ruhrstadion,24350,5400.0 + 420.0
German Bundesliga,2023-11-26T14:30Z,1. FC Heidenheim 1846,VfL Bochum,Draw,0.0,0.0,0.0 - 0.0,Voith-Arena,15000,5400.0 + 240.0
German Bundesliga,2023-11-11T17:30Z,VfL Bochum,FC Cologne,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 300.0
German Bundesliga,2023-11-03T19:30Z,SV Darmstadt 98,VfL Bochum,VfL Bochum,1.0,2.0,1.0 - 2.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 420.0
German Bundesliga,2023-10-27T18:30Z,VfL Bochum,Mainz,Draw,2.0,2.0,2.0 - 2.0,Vonovia Ruhrstadion,26000,5400.0 + 420.0
German Bundesliga,2023-10-21T13:30Z,SC Freiburg,VfL Bochum,SC Freiburg,2.0,1.0,2.0 - 1.0,Europa-Park Stadion,33900,5400.0 + 360.0
German Bundesliga,2023-10-07T13:30Z,RB Leipzig,VfL Bochum,Draw,0.0,0.0,0.0 - 0.0,Red Bull Arena,44269,5400.0 + 360.0
German Bundesliga,2023-09-30T13:30Z,VfL Bochum,Borussia Monchengladbach,Borussia Monchengladbach,1.0,3.0,1.0 - 3.0,Vonovia Ruhrstadion,26000,5400.0 + 600.0
German Bundesliga,2023-09-23T13:30Z,Bayern Munich,VfL Bochum,Bayern Munich,7.0,0.0,7.0 - 0.0,Allianz Arena,75000,5400.0 + 180.0
German Bundesliga,2023-09-16T16:30Z,VfL Bochum,Eintracht Frankfurt,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 420.0
German Bundesliga,2023-09-02T13:30Z,FC Augsburg,VfL Bochum,Draw,2.0,2.0,2.0 - 2.0,WWK Arena,27424,5400.0 + 300.0
German Bundesliga,2023-08-26T13:30Z,VfL Bochum,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 360.0
German Bundesliga,2023-08-19T13:30Z,VfB Stuttgart,VfL Bochum,VfB Stuttgart,5.0,0.0,5.0 - 0.0,MHPArena,53000,5400.0 + 60.0
