league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,VfL Wolfsburg,SV Darmstadt 98,VfL Wolfsburg,3.0,0.0,3.0 - 0.0,Volkswagen Arena,23108,5400.0 + 300.0
German Bundesliga,2024-04-27T13:30Z,SC Freiburg,VfL Wolfsburg,VfL Wolfsburg,1.0,2.0,1.0 - 2.0,Europa-Park Stadion,32800,5400.0 + 600.0
German Bundesliga,2024-04-20T13:30Z,VfL Wolfsburg,VfL Bochum,VfL Wolfsburg,1.0,0.0,1.0 - 0.0,Volkswagen Arena,26327,5400.0 + 480.0
German Bundesliga,2024-04-13T13:30Z,RB Leipzig,VfL Wolfsburg,RB Leipzig,3.0,0.0,3.0 - 0.0,Red Bull Arena,45858,5400.0 + 360.0
German Bundesliga,2024-04-07T15:30Z,VfL Wolfsburg,Borussia Monchengladbach,Borussia Monchengladbach,1.0,3.0,1.0 - 3.0,Volkswagen Arena,26105,5400.0 + 360.0
German Bundesliga,2024-03-30T14:30Z,Werder Bremen,VfL Wolfsburg,VfL Wolfsburg,0.0,2.0,0.0 - 2.0,wohninvest WESERSTADION,41500,5400.0 + 300.0
German Bundesliga,2024-03-16T14:30Z,VfL Wolfsburg,FC Augsburg,FC Augsburg,1.0,3.0,1.0 - 3.0,Volkswagen Arena,21735,5400.0 + 240.0
German Bundesliga,2024-03-10T18:30Z,Bayer Leverkusen,VfL Wolfsburg,Bayer Leverkusen,2.0,0.0,2.0 - 0.0,BayArena,29314,5400.0 + 60.0
German Bundesliga,2024-03-02T17:30Z,VfL Wolfsburg,VfB Stuttgart,VfB Stuttgart,2.0,3.0,2.0 - 3.0,Volkswagen Arena,28917,5400.0 + 480.0
German Bundesliga,2024-02-25T14:30Z,Eintracht Frankfurt,VfL Wolfsburg,Draw,2.0,2.0,2.0 - 2.0,Deutsche Bank Park,56500,5400.0 + 720.0
German Bundesliga,2024-02-17T14:30Z,VfL Wolfsburg,Borussia Dortmund,Draw,1.0,1.0,1.0 - 1.0,Volkswagen Arena,28917,5400.0 + 540.0
German Bundesliga,2024-02-10T14:30Z,1. FC Union Berlin,VfL Wolfsburg,1. FC Union Berlin,1.0,0.0,1.0 - 0.0,An der alten Försterei,22000,5400.0 + 360.0
German Bundesliga,2024-02-04T14:30Z,VfL Wolfsburg,TSG Hoffenheim,Draw,2.0,2.0,2.0 - 2.0,Volkswagen Arena,22917,5400.0 + 420.0
German Bundesliga,2024-01-27T14:30Z,VfL Wolfsburg,FC Cologne,Draw,1.0,1.0,1.0 - 1.0,Volkswagen Arena,24525,5400.0 + 240.0
