league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
German Bundesliga,2024-05-04T13:30Z,Werder Bremen,Borussia Monchengladbach,Draw,2.0,2.0,2.0 - 2.0,wohninvest WESERSTADION,42100,5400.0 + 300.0
German Bundesliga,2024-04-27T13:30Z,FC Augsburg,Werder Bremen,Werder Bremen,0.0,3.0,0.0 - 3.0,WWK Arena,30660,5400.0 + 360.0
German Bundesliga,2024-04-21T13:30Z,Werder Bremen,VfB Stuttgart,Werder Bremen,2.0,1.0,2.0 - 1.0,wohninvest WESERSTADION,42100,5400.0 + 660.0
German Bundesliga,2024-04-14T15:30Z,Bayer Leverkusen,Werder Bremen,Bayer Leverkusen,5.0,0.0,5.0 - 0.0,BayArena,30210,5400.0 + 60.0
German Bundesliga,2024-04-05T18:30Z,Eintracht Frankfurt,Werder Bremen,Draw,1.0,1.0,1.0 - 1.0,Deutsche Bank Park,58000,5400.0 + 540.0
German Bundesliga,2024-03-30T14:30Z,Werder Bremen,VfL Wolfsburg,VfL Wolfsburg,0.0,2.0,0.0 - 2.0,wohninvest WESERSTADION,41500,5400.0 + 300.0
German Bundesliga,2024-03-16T14:30Z,1. FC Union Berlin,Werder Bremen,1. FC Union Berlin,2.0,1.0,2.0 - 1.0,An der alten Försterei,22012,5400.0 + 600.0
German Bundesliga,2024-03-09T17:30Z,Werder Bremen,Borussia Dortmund,Borussia Dortmund,1.0,2.0,1.0 - 2.0,wohninvest WESERSTADION,42100,5400.0 + 360.0
German Bundesliga,2024-03-03T16:30Z,TSG Hoffenheim,Werder Bremen,TSG Hoffenheim,2.0,1.0,2.0 - 1.0,PreZero Arena,25000,5400.0 + 420.0
German Bundesliga,2024-02-24T14:30Z,Werder Bremen,SV Darmstadt 98,Draw,1.0,1.0,1.0 - 1.0,wohninvest WESERSTADION,42358,5400.0 + 540.0
German Bundesliga,2024-02-16T19:30Z,FC Cologne,Werder Bremen,Werder Bremen,0.0,1.0,0.0 - 1.0,RheinEnergieStadion,50000,5400.0 + 600.0
German Bundesliga,2024-02-10T14:30Z,Werder Bremen,1. FC Heidenheim 1846,1. FC Heidenheim 1846,1.0,2.0,1.0 - 2.0,wohninvest WESERSTADION,41000,5400.0 + 480.0
German Bundesliga,2024-02-03T14:30Z,Mainz,Werder Bremen,Werder Bremen,0.0,1.0,0.0 - 1.0,MEWA ARENA,31800,5400.0 + 420.0
German Bundesliga,2024-01-27T14:30Z,Werder Bremen,SC Freiburg,Werder Bremen,3.0,1.0,3.0 - 1.0,wohninvest WESERSTADION,41500,5400.0 + 360.0
German Bundesliga,2024-01-21T14:30Z,Bayern Munich,Werder Bremen,Werder Bremen,0.0,1.0,0.0 - 1.0,Allianz Arena,75000,5400.0 + 360.0
German Bundesliga,2024-01-14T14:30Z,VfL Bochum,Werder Bremen,Draw,1.0,1.0,1.0 - 1.0,Vonovia Ruhrstadion,26000,5400.0 + 420.0
German Bundesliga,2023-12-19T17:30Z,Werder Bremen,RB Leipzig,Draw,1.0,1.0,1.0 - 1.0,wohninvest WESERSTADION,41000,5400.0 + 360.0
German Bundesliga,2023-12-15T19:30Z,Borussia Monchengladbach,Werder Bremen,Draw,2.0,2.0,2.0 - 2.0,Borussia-Park,50660,5400.0 + 300.0
German Bundesliga,2023-12-09T14:30Z,Werder Bremen,FC Augsburg,Werder Bremen,2.0,0.0,2.0 - 0.0,wohninvest WESERSTADION,41000,5400.0 + 300.0
German Bundesliga,2023-12-02T17:30Z,VfB Stuttgart,Werder Bremen,VfB Stuttgart,2.0,0.0,2.0 - 0.0,MHPArena,54500,5400.0 + 360.0
German Bundesliga,2023-11-25T14:30Z,Werder Bremen,Bayer Leverkusen,Bayer Leverkusen,0.0,3.0,0.0 - 3.0,wohninvest WESERSTADION,42100,5400.0 + 240.0
German Bundesliga,2023-11-12T16:30Z,Werder Bremen,Eintracht Frankfurt,Draw,2.0,2.0,2.0 - 2.0,wohninvest WESERSTADION,42100,5400.0 + 300.0
German Bundesliga,2023-11-05T14:30Z,VfL Wolfsburg,Werder Bremen,Draw,2.0,2.0,2.0 - 2.0,Volkswagen Arena,28917,5400.0 + 360.0
German Bundesliga,2023-10-28T13:30Z,Werder Bremen,1. FC Union Berlin,Werder Bremen,2.0,0.0,2.0 - 0.0,wohninvest WESERSTADION,42100,5400.0 + 480.0
German Bundesliga,2023-10-20T18:30Z,Borussia Dortmund,Werder Bremen,Borussia Dortmund,1.0,0.0,1.0 - 0.0,SIGNAL IDUNA PARK,81365,5400.0 + 300.0
German Bundesliga,2023-10-07T16:30Z,Werder Bremen,TSG Hoffenheim,TSG Hoffenheim,2.0,3.0,2.0 - 3.0,wohninvest WESERSTADION,41000,5400.0 + 600.0
German Bundesliga,2023-10-01T13:30Z,SV Darmstadt 98,Werder Bremen,SV Darmstadt 98,4.0,2.0,4.0 - 2.0,Merck-Stadion am Böllenfalltor,17810,5400.0 + 360.0
German Bundesliga,2023-09-23T16:30Z,Werder Bremen,FC Cologne,Werder Bremen,2.0,1.0,2.0 - 1.0,wohninvest WESERSTADION,42100,5400.0 + 360.0
German Bundesliga,2023-09-17T13:30Z,1. FC Heidenheim 1846,Werder Bremen,1. FC Heidenheim 1846,4.0,2.0,4.0 - 2.0,Voith-Arena,15000,5400.0 + 360.0
German Bundesliga,2023-09-02T13:30Z,Werder Bremen,Mainz,Werder Bremen,4.0,0.0,4.0 - 0.0,wohninvest WESERSTADION,41000,5400.0 + 300.0
German Bundesliga,2023-08-26T13:30Z,SC Freiburg,Werder Bremen,SC Freiburg,1.0,0.0,1.0 - 0.0,Europa-Park Stadion,34700,5400.0 + 480.0
German Bundesliga,2023-08-18T18:30Z,Werder Bremen,Bayern Munich,Bayern Munich,0.0,4.0,0.0 - 4.0,wohninvest WESERSTADION,42100,5400.0 + 360.0
