league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-03T18:45Z,Torino,Bologna,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,23895,5400.0 + 300.0
Italian Serie A,2024-04-28T13:00Z,Bologna,Udinese,Draw,1.0,1.0,1.0 - 1.0,Renato Dall'Ara,27396,5400.0 + 420.0
Italian Serie A,2024-04-22T16:30Z,AS Roma,Bologna,Bologna,1.0,3.0,1.0 - 3.0,Olimpico,63850,5400.0 + 420.0
Italian Serie A,2024-04-13T18:45Z,Bologna,Monza,Draw,0.0,0.0,0.0 - 0.0,Renato Dall'Ara,26903,5400.0 + 360.0
Italian Serie A,2024-04-07T10:30Z,Frosinone,Bologna,Draw,0.0,0.0,0.0 - 0.0,Benito Stirpe,14896,5400.0 + 300.0
Italian Serie A,2024-04-01T10:30Z,Bologna,Salernitana,Bologna,3.0,0.0,3.0 - 0.0,Renato Dall'Ara,27255,5400.0 + 300.0
Italian Serie A,2024-03-15T19:45Z,Empoli,Bologna,Bologna,0.0,1.0,0.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,11185,5400.0 + 420.0
Italian Serie A,2024-03-09T17:00Z,Bologna,Internazionale,Internazionale,0.0,1.0,0.0 - 1.0,Renato Dall'Ara,30204,5400.0 + 420.0
Italian Serie A,2024-03-03T17:00Z,Atalanta,Bologna,Bologna,1.0,2.0,1.0 - 2.0,Gewiss Stadium,14931,5400.0 + 300.0
Italian Serie A,2024-02-23T19:45Z,Bologna,Hellas Verona,Bologna,2.0,0.0,2.0 - 0.0,Renato Dall'Ara,26033,5400.0 + 240.0
Italian Serie A,2024-02-18T11:30Z,Lazio,Bologna,Bologna,1.0,2.0,1.0 - 2.0,Olimpico,43500,5400.0 + 300.0
Italian Serie A,2024-02-14T18:00Z,Bologna,Fiorentina,Bologna,2.0,0.0,2.0 - 0.0,Renato Dall'Ara,25684,5400.0 + 480.0
Italian Serie A,2024-02-11T14:00Z,Bologna,Lecce,Bologna,4.0,0.0,4.0 - 0.0,Renato Dall'Ara,24658,5400.0 + 240.0
Italian Serie A,2024-02-03T19:45Z,Bologna,Sassuolo,Bologna,4.0,2.0,4.0 - 2.0,Renato Dall'Ara,20932,5400.0 + 240.0
Italian Serie A,2024-01-27T19:45Z,AC Milan,Bologna,Draw,2.0,2.0,2.0 - 2.0,Stadio Giuseppe Meazza,71334,5400.0 + 360.0
Italian Serie A,2024-01-14T14:00Z,Cagliari,Bologna,Cagliari,2.0,1.0,2.0 - 1.0,Unipol Domus,15980,5400.0 + 360.0
Italian Serie A,2024-01-05T19:45Z,Bologna,Genoa,Draw,1.0,1.0,1.0 - 1.0,Renato Dall'Ara,25095,5400.0 + 480.0
Italian Serie A,2023-12-30T14:00Z,Udinese,Bologna,Udinese,3.0,0.0,3.0 - 0.0,Bluenergy Stadium,24786,5400.0 + 360.0
Italian Serie A,2023-12-23T14:00Z,Bologna,Atalanta,Bologna,1.0,0.0,1.0 - 0.0,Renato Dall'Ara,28082,5400.0 + 360.0
Italian Serie A,2023-12-17T17:00Z,Bologna,AS Roma,Bologna,2.0,0.0,2.0 - 0.0,Renato Dall'Ara,25579,5400.0 + 240.0
Italian Serie A,2023-12-10T17:00Z,Salernitana,Bologna,Bologna,1.0,2.0,1.0 - 2.0,Arechi,16650,5400.0 + 480.0
Italian Serie A,2023-12-03T11:30Z,Lecce,Bologna,Draw,1.0,1.0,1.0 - 1.0,Stadio Ettore Giardiniero - Via del Mare,24326,5400.0 + 600.0
Italian Serie A,2023-11-27T19:45Z,Bologna,Torino,Bologna,2.0,0.0,2.0 - 0.0,Renato Dall'Ara,20705,5400.0 + 420.0
Italian Serie A,2023-11-12T14:00Z,Fiorentina,Bologna,Fiorentina,2.0,1.0,2.0 - 1.0,Artemio Franchi,29750,5400.0 + 420.0
Italian Serie A,2023-11-03T19:45Z,Bologna,Lazio,Bologna,1.0,0.0,1.0 - 0.0,Renato Dall'Ara,24178,5400.0 + 420.0
Italian Serie A,2023-10-28T13:00Z,Sassuolo,Bologna,Draw,1.0,1.0,1.0 - 1.0,MAPEI Stadium - Città del Tricolore,16931,5400.0 + 360.0
Italian Serie A,2023-10-22T13:00Z,Bologna,Frosinone,Bologna,2.0,1.0,2.0 - 1.0,Renato Dall'Ara,26729,5400.0 + 360.0
Italian Serie A,2023-10-07T13:00Z,Internazionale,Bologna,Draw,2.0,2.0,2.0 - 2.0,Stadio Giuseppe Meazza,74072,5400.0 + 420.0
Italian Serie A,2023-10-01T10:30Z,Bologna,Empoli,Bologna,3.0,0.0,3.0 - 0.0,Renato Dall'Ara,23689,5400.0 + 480.0
Italian Serie A,2023-09-28T16:30Z,Monza,Bologna,Draw,0.0,0.0,0.0 - 0.0,U-Power Stadium,8930,5400.0 + 360.0
Italian Serie A,2023-09-24T16:00Z,Bologna,Napoli,Draw,0.0,0.0,0.0 - 0.0,Renato Dall'Ara,26621,5400.0 + 420.0
Italian Serie A,2023-09-18T18:45Z,Hellas Verona,Bologna,Draw,0.0,0.0,0.0 - 0.0,Stadio Marcantonio Bentegodi,18863,5400.0 + 360.0
Italian Serie A,2023-09-02T16:30Z,Bologna,Cagliari,Bologna,2.0,1.0,2.0 - 1.0,Renato Dall'Ara,22818,5400.0 + 540.0
Italian Serie A,2023-08-27T16:30Z,Juventus,Bologna,Draw,1.0,1.0,1.0 - 1.0,Allianz Stadium,36107,5400.0 + 480.0
Italian Serie A,2023-08-21T18:45Z,Bologna,AC Milan,AC Milan,0.0,2.0,0.0 - 2.0,Renato Dall'Ara,30203,5400.0 + 300.0
