league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-05T13:00Z,Empoli,Frosinone,Draw,0.0,0.0,0.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,13110,5400.0 + 300.0
Italian Serie A,2024-04-28T16:00Z,Atalanta,Empoli,Atalanta,2.0,0.0,2.0 - 0.0,Gewiss Stadium,14614,5400.0 + 240.0
Italian Serie A,2024-04-20T16:00Z,Empoli,Napoli,Empoli,1.0,0.0,1.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,12916,5400.0 + 300.0
Italian Serie A,2024-04-13T13:00Z,Lecce,Empoli,Lecce,1.0,0.0,1.0 - 0.0,Stadio Ettore Giardiniero - Via del Mare,25957,5400.0 + 360.0
Italian Serie A,2024-04-06T18:45Z,Empoli,Torino,Empoli,3.0,2.0,3.0 - 2.0,Stadio Carlo Castellani – Computer Gross Arena,8374,5400.0 + 420.0
Italian Serie A,2024-04-01T18:45Z,Internazionale,Empoli,Internazionale,2.0,0.0,2.0 - 0.0,Stadio Giuseppe Meazza,71551,5400.0 + 300.0
Italian Serie A,2024-03-15T19:45Z,Empoli,Bologna,Bologna,0.0,1.0,0.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,11185,5400.0 + 420.0
Italian Serie A,2024-03-10T14:00Z,AC Milan,Empoli,AC Milan,1.0,0.0,1.0 - 0.0,Stadio Giuseppe Meazza,70343,5400.0 + 300.0
Italian Serie A,2024-03-03T14:00Z,Empoli,Cagliari,Cagliari,0.0,1.0,0.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,11223,5400.0 + 480.0
Italian Serie A,2024-02-24T14:00Z,Sassuolo,Empoli,Empoli,2.0,3.0,2.0 - 3.0,MAPEI Stadium - Città del Tricolore,12774,5400.0 + 360.0
Italian Serie A,2024-02-18T14:00Z,Empoli,Fiorentina,Draw,1.0,1.0,1.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,12490,5400.0 + 300.0
Italian Serie A,2024-02-09T19:45Z,Salernitana,Empoli,Empoli,1.0,3.0,1.0 - 3.0,Arechi,18173,5400.0 + 420.0
Italian Serie A,2024-02-03T14:00Z,Empoli,Genoa,Draw,0.0,0.0,0.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,10374,5400.0 + 240.0
Italian Serie A,2024-01-27T17:00Z,Juventus,Empoli,Draw,1.0,1.0,1.0 - 1.0,Allianz Stadium,39518,5400.0 + 360.0
Italian Serie A,2024-01-21T14:00Z,Empoli,Monza,Empoli,3.0,0.0,3.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,7650,5400.0 + 300.0
Italian Serie A,2024-01-13T17:00Z,Hellas Verona,Empoli,Hellas Verona,2.0,1.0,2.0 - 1.0,Stadio Marcantonio Bentegodi,15737,5400.0 + 300.0
Italian Serie A,2024-01-07T11:30Z,Empoli,AC Milan,AC Milan,0.0,3.0,0.0 - 3.0,Stadio Carlo Castellani – Computer Gross Arena,15009,5400.0 + 180.0
Italian Serie A,2023-12-30T14:00Z,Cagliari,Empoli,Draw,0.0,0.0,0.0 - 0.0,Unipol Domus,16125,5400.0 + 600.0
Italian Serie A,2023-12-22T17:30Z,Empoli,Lazio,Lazio,0.0,2.0,0.0 - 2.0,Stadio Carlo Castellani – Computer Gross Arena,8800,5400.0 + 300.0
Italian Serie A,2023-12-16T19:45Z,Torino,Empoli,Torino,1.0,0.0,1.0 - 0.0,Olimpico Grande Torino,17815,5400.0 + 420.0
Italian Serie A,2023-12-11T17:30Z,Empoli,Lecce,Draw,1.0,1.0,1.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,7152,5400.0 + 360.0
Italian Serie A,2023-12-02T14:00Z,Genoa,Empoli,Draw,1.0,1.0,1.0 - 1.0,Luigi Ferraris,30747,5400.0 + 300.0
Italian Serie A,2023-11-26T14:00Z,Empoli,Sassuolo,Sassuolo,3.0,4.0,3.0 - 4.0,Stadio Carlo Castellani – Computer Gross Arena,9954,5400.0 + 420.0
Italian Serie A,2023-11-12T11:30Z,Napoli,Empoli,Empoli,0.0,1.0,0.0 - 1.0,Diego Armando Maradona,50500,5400.0 + 360.0
Italian Serie A,2023-11-06T17:30Z,Frosinone,Empoli,Frosinone,2.0,1.0,2.0 - 1.0,Benito Stirpe,14755,5400.0 + 420.0
Italian Serie A,2023-10-30T17:30Z,Empoli,Atalanta,Atalanta,0.0,3.0,0.0 - 3.0,Stadio Carlo Castellani – Computer Gross Arena,7825,5400.0 + 300.0
Italian Serie A,2023-10-23T18:45Z,Fiorentina,Empoli,Empoli,0.0,2.0,0.0 - 2.0,Artemio Franchi,29105,5400.0 + 360.0
Italian Serie A,2023-10-06T16:30Z,Empoli,Udinese,Draw,0.0,0.0,0.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,7128,5400.0 + 420.0
Italian Serie A,2023-10-01T10:30Z,Bologna,Empoli,Bologna,3.0,0.0,3.0 - 0.0,Renato Dall'Ara,23689,5400.0 + 480.0
Italian Serie A,2023-09-27T16:30Z,Empoli,Salernitana,Empoli,1.0,0.0,1.0 - 0.0,Stadio Carlo Castellani – Computer Gross Arena,7979,5400.0 + 420.0
Italian Serie A,2023-09-24T10:30Z,Empoli,Internazionale,Internazionale,0.0,1.0,0.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,15651,5400.0 + 360.0
Italian Serie A,2023-09-17T18:45Z,AS Roma,Empoli,AS Roma,7.0,0.0,7.0 - 0.0,Olimpico,61443,5400.0 + 240.0
Italian Serie A,2023-09-03T18:45Z,Empoli,Juventus,Juventus,0.0,2.0,0.0 - 2.0,Stadio Carlo Castellani – Computer Gross Arena,15702,5400.0 + 480.0
Italian Serie A,2023-08-26T16:30Z,Monza,Empoli,Monza,2.0,0.0,2.0 - 0.0,U-Power Stadium,8155,5400.0 + 540.0
Italian Serie A,2023-08-19T16:30Z,Empoli,Hellas Verona,Hellas Verona,0.0,1.0,0.0 - 1.0,Stadio Carlo Castellani – Computer Gross Arena,7940,5400.0 + 420.0
