league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-04T18:45Z,Sassuolo,Internazionale,Sassuolo,1.0,0.0,1.0 - 0.0,MAPEI Stadium - Città del Tricolore,19454,5400.0 + 300.0
Italian Serie A,2024-04-28T10:30Z,Internazionale,Torino,Internazionale,2.0,0.0,2.0 - 0.0,Stadio Giuseppe Meazza,71686,5400.0 + 360.0
Italian Serie A,2024-04-22T18:45Z,AC Milan,Internazionale,Internazionale,1.0,2.0,1.0 - 2.0,Stadio Giuseppe Meazza,75554,5400.0 + 480.0
Italian Serie A,2024-04-14T18:45Z,Internazionale,Cagliari,Draw,2.0,2.0,2.0 - 2.0,Stadio Giuseppe Meazza,72559,5400.0 + 360.0
Italian Serie A,2024-04-08T18:45Z,Udinese,Internazionale,Internazionale,1.0,2.0,1.0 - 2.0,Bluenergy Stadium,24993,5400.0 + 480.0
Italian Serie A,2024-04-01T18:45Z,Internazionale,Empoli,Internazionale,2.0,0.0,2.0 - 0.0,Stadio Giuseppe Meazza,71551,5400.0 + 300.0
Italian Serie A,2024-03-17T19:45Z,Internazionale,Napoli,Draw,1.0,1.0,1.0 - 1.0,Stadio Giuseppe Meazza,71551,5400.0 + 240.0
Italian Serie A,2024-03-09T17:00Z,Bologna,Internazionale,Internazionale,0.0,1.0,0.0 - 1.0,Renato Dall'Ara,30204,5400.0 + 420.0
Italian Serie A,2024-03-04T19:45Z,Internazionale,Genoa,Internazionale,2.0,1.0,2.0 - 1.0,Stadio Giuseppe Meazza,75421,5400.0 + 240.0
Italian Serie A,2024-02-28T19:45Z,Internazionale,Atalanta,Internazionale,4.0,0.0,4.0 - 0.0,Stadio Giuseppe Meazza,71422,5400.0 + 300.0
Italian Serie A,2024-02-25T17:00Z,Lecce,Internazionale,Internazionale,0.0,4.0,0.0 - 4.0,Stadio Ettore Giardiniero - Via del Mare,27910,5400.0 + 60.0
Italian Serie A,2024-02-16T20:00Z,Internazionale,Salernitana,Internazionale,4.0,0.0,4.0 - 0.0,Stadio Giuseppe Meazza,72609,5400.0 + 0.0
Italian Serie A,2024-02-10T17:00Z,AS Roma,Internazionale,Internazionale,2.0,4.0,2.0 - 4.0,Olimpico,65044,5400.0 + 360.0
Italian Serie A,2024-02-04T19:45Z,Internazionale,Juventus,Internazionale,1.0,0.0,1.0 - 0.0,Stadio Giuseppe Meazza,75547,5400.0 + 300.0
Italian Serie A,2024-01-28T19:45Z,Fiorentina,Internazionale,Internazionale,0.0,1.0,0.0 - 1.0,Artemio Franchi,35084,5400.0 + 360.0
Italian Serie A,2024-01-13T19:45Z,Monza,Internazionale,Internazionale,1.0,5.0,1.0 - 5.0,U-Power Stadium,14670,5400.0 + 180.0
