league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-05T18:45Z,AS Roma,Juventus,Draw,1.0,1.0,1.0 - 1.0,Olimpico,63996,5400.0 + 360.0
Italian Serie A,2024-04-27T16:00Z,Juventus,AC Milan,Draw,0.0,0.0,0.0 - 0.0,Allianz Stadium,39845,5400.0 + 300.0
Italian Serie A,2024-04-19T18:45Z,Cagliari,Juventus,Draw,2.0,2.0,2.0 - 2.0,Unipol Domus,16179,5400.0 + 420.0
Italian Serie A,2024-04-13T16:00Z,Torino,Juventus,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,27788,5400.0 + 480.0
Italian Serie A,2024-04-07T18:45Z,Juventus,Fiorentina,Juventus,1.0,0.0,1.0 - 0.0,Allianz Stadium,37994,5400.0 + 300.0
Italian Serie A,2024-03-30T17:00Z,Lazio,Juventus,Lazio,1.0,0.0,1.0 - 0.0,Olimpico,57000,5400.0 + 300.0
Italian Serie A,2024-03-17T11:30Z,Juventus,Genoa,Draw,0.0,0.0,0.0 - 0.0,Allianz Stadium,40098,5400.0 + 360.0
Italian Serie A,2024-03-10T17:00Z,Juventus,Atalanta,Draw,2.0,2.0,2.0 - 2.0,Allianz Stadium,39206,5400.0 + 240.0
Italian Serie A,2024-03-03T19:45Z,Napoli,Juventus,Napoli,2.0,1.0,2.0 - 1.0,Diego Armando Maradona,50000,5400.0 + 360.0
Italian Serie A,2024-02-25T11:30Z,Juventus,Frosinone,Juventus,3.0,2.0,3.0 - 2.0,Allianz Stadium,40719,5400.0 + 420.0
Italian Serie A,2024-02-17T17:00Z,Hellas Verona,Juventus,Draw,2.0,2.0,2.0 - 2.0,Stadio Marcantonio Bentegodi,27000,5400.0 + 360.0
Italian Serie A,2024-02-12T19:45Z,Juventus,Udinese,Udinese,0.0,1.0,0.0 - 1.0,Allianz Stadium,38875,5400.0 + 300.0
Italian Serie A,2024-02-04T19:45Z,Internazionale,Juventus,Internazionale,1.0,0.0,1.0 - 0.0,Stadio Giuseppe Meazza,75547,5400.0 + 300.0
