league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-04T18:45Z,Sassuolo,Internazionale,Sassuolo,1.0,0.0,1.0 - 0.0,MAPEI Stadium - Città del Tricolore,19454,5400.0 + 300.0
Italian Serie A,2024-04-28T18:45Z,Fiorentina,Sassuolo,Fiorentina,5.0,1.0,5.0 - 1.0,Artemio Franchi,22575,5400.0 + 60.0
Italian Serie A,2024-04-21T10:30Z,Sassuolo,Lecce,Lecce,0.0,3.0,0.0 - 3.0,MAPEI Stadium - Città del Tricolore,16210,5400.0 + 120.0
Italian Serie A,2024-04-14T13:00Z,Sassuolo,AC Milan,Draw,3.0,3.0,3.0 - 3.0,MAPEI Stadium - Città del Tricolore,19199,5400.0 + 360.0
Italian Serie A,2024-04-05T18:45Z,Salernitana,Sassuolo,Draw,2.0,2.0,2.0 - 2.0,Arechi,14306,5400.0 + 480.0
Italian Serie A,2024-04-01T13:00Z,Sassuolo,Udinese,Draw,1.0,1.0,1.0 - 1.0,MAPEI Stadium - Città del Tricolore,11512,5400.0 + 240.0
Italian Serie A,2024-03-17T17:00Z,AS Roma,Sassuolo,AS Roma,1.0,0.0,1.0 - 0.0,Olimpico,66871,5400.0 + 240.0
Italian Serie A,2024-03-09T14:00Z,Sassuolo,Frosinone,Sassuolo,1.0,0.0,1.0 - 0.0,MAPEI Stadium - Città del Tricolore,11189,5400.0 + 420.0
Italian Serie A,2024-03-03T11:30Z,Hellas Verona,Sassuolo,Hellas Verona,1.0,0.0,1.0 - 0.0,Stadio Marcantonio Bentegodi,19338,5400.0 + 420.0
Italian Serie A,2024-02-28T17:00Z,Sassuolo,Napoli,Napoli,1.0,6.0,1.0 - 6.0,MAPEI Stadium - Città del Tricolore,17085,5400.0 + 60.0
Italian Serie A,2024-02-24T14:00Z,Sassuolo,Empoli,Empoli,2.0,3.0,2.0 - 3.0,MAPEI Stadium - Città del Tricolore,12774,5400.0 + 360.0
Italian Serie A,2024-02-17T19:45Z,Atalanta,Sassuolo,Atalanta,3.0,0.0,3.0 - 0.0,Gewiss Stadium,14474,5400.0 + 240.0
Italian Serie A,2024-02-10T19:45Z,Sassuolo,Torino,Draw,1.0,1.0,1.0 - 1.0,MAPEI Stadium - Città del Tricolore,10955,5400.0 + 360.0
Italian Serie A,2024-02-03T19:45Z,Bologna,Sassuolo,Bologna,4.0,2.0,4.0 - 2.0,Renato Dall'Ara,20932,5400.0 + 240.0
Italian Serie A,2024-01-28T14:00Z,Monza,Sassuolo,Monza,1.0,0.0,1.0 - 0.0,U-Power Stadium,9982,5400.0 + 600.0
Italian Serie A,2024-01-16T19:45Z,Juventus,Sassuolo,Juventus,3.0,0.0,3.0 - 0.0,Allianz Stadium,39005,5400.0 + 240.0
Italian Serie A,2024-01-06T19:45Z,Sassuolo,Fiorentina,Sassuolo,1.0,0.0,1.0 - 0.0,MAPEI Stadium - Città del Tricolore,15759,5400.0 + 480.0
Italian Serie A,2023-12-30T17:00Z,AC Milan,Sassuolo,AC Milan,1.0,0.0,1.0 - 0.0,Stadio Giuseppe Meazza,70385,5400.0 + 360.0
Italian Serie A,2023-12-22T17:30Z,Sassuolo,Genoa,Genoa,1.0,2.0,1.0 - 2.0,MAPEI Stadium - Città del Tricolore,11745,5400.0 + 360.0
Italian Serie A,2023-12-17T14:00Z,Udinese,Sassuolo,Draw,2.0,2.0,2.0 - 2.0,Bluenergy Stadium,20490,5400.0 + 420.0
Italian Serie A,2023-12-11T19:45Z,Cagliari,Sassuolo,Cagliari,2.0,1.0,2.0 - 1.0,Unipol Domus,15769,5400.0 + 660.0
Italian Serie A,2023-12-03T17:00Z,Sassuolo,AS Roma,AS Roma,1.0,2.0,1.0 - 2.0,MAPEI Stadium - Città del Tricolore,19113,5400.0 + 480.0
