league,date,home_team,away_team,winner,home_team_goals,away_team_goals,score,venue,attendance,duration
Italian Serie A,2024-05-03T18:45Z,Torino,Bologna,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,23895,5400.0 + 300.0
Italian Serie A,2024-04-28T10:30Z,Internazionale,Torino,Internazionale,2.0,0.0,2.0 - 0.0,Stadio Giuseppe Meazza,71686,5400.0 + 360.0
Italian Serie A,2024-04-21T13:00Z,Torino,Frosinone,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,23728,5400.0 + 240.0
Italian Serie A,2024-04-13T16:00Z,Torino,Juventus,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,27788,5400.0 + 480.0
Italian Serie A,2024-04-06T18:45Z,Empoli,Torino,Empoli,3.0,2.0,3.0 - 2.0,Stadio Carlo Castellani – Computer Gross Arena,8374,5400.0 + 420.0
Italian Serie A,2024-03-30T14:00Z,Torino,Monza,Torino,1.0,0.0,1.0 - 0.0,Olimpico Grande Torino,24286,5400.0 + 360.0
Italian Serie A,2024-03-16T14:00Z,Udinese,Torino,Torino,0.0,2.0,0.0 - 2.0,Bluenergy Stadium,21223,5400.0 + 360.0
Italian Serie A,2024-03-08T19:45Z,Napoli,Torino,Draw,1.0,1.0,1.0 - 1.0,Diego Armando Maradona,47000,5400.0 + 480.0
Italian Serie A,2024-03-02T19:45Z,Torino,Fiorentina,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,22845,5400.0 + 360.0
Italian Serie A,2024-02-26T17:30Z,AS Roma,Torino,AS Roma,3.0,2.0,3.0 - 2.0,Olimpico,61595,5400.0 + 360.0
Italian Serie A,2024-02-22T19:45Z,Torino,Lazio,Lazio,0.0,2.0,0.0 - 2.0,Olimpico Grande Torino,22742,5400.0 + 420.0
Italian Serie A,2024-02-16T18:00Z,Torino,Lecce,Torino,2.0,0.0,2.0 - 0.0,Olimpico Grande Torino,22457,5400.0 + 240.0
Italian Serie A,2024-02-10T19:45Z,Sassuolo,Torino,Draw,1.0,1.0,1.0 - 1.0,MAPEI Stadium - Città del Tricolore,10955,5400.0 + 360.0
Italian Serie A,2024-02-04T11:30Z,Torino,Salernitana,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,24461,5400.0 + 360.0
Italian Serie A,2024-01-26T19:45Z,Cagliari,Torino,Torino,1.0,2.0,1.0 - 2.0,Unipol Domus,16196,5400.0 + 420.0
Italian Serie A,2024-01-13T14:00Z,Genoa,Torino,Draw,0.0,0.0,0.0 - 0.0,Luigi Ferraris,33019,5400.0 + 300.0
Italian Serie A,2024-01-07T14:00Z,Torino,Napoli,Torino,3.0,0.0,3.0 - 0.0,Olimpico Grande Torino,23960,5400.0 + 240.0
Italian Serie A,2023-12-29T17:30Z,Fiorentina,Torino,Fiorentina,1.0,0.0,1.0 - 0.0,Artemio Franchi,32915,5400.0 + 420.0
Italian Serie A,2023-12-23T14:00Z,Torino,Udinese,Draw,1.0,1.0,1.0 - 1.0,Olimpico Grande Torino,23546,5400.0 + 240.0
Italian Serie A,2023-12-16T19:45Z,Torino,Empoli,Torino,1.0,0.0,1.0 - 0.0,Olimpico Grande Torino,17815,5400.0 + 420.0
Italian Serie A,2023-12-10T11:30Z,Frosinone,Torino,Draw,0.0,0.0,0.0 - 0.0,Benito Stirpe,13807,5400.0 + 360.0
Italian Serie A,2023-12-04T19:45Z,Torino,Atalanta,Torino,3.0,0.0,3.0 - 0.0,Olimpico Grande Torino,18507,5400.0 + 360.0
Italian Serie A,2023-11-27T19:45Z,Bologna,Torino,Bologna,2.0,0.0,2.0 - 0.0,Renato Dall'Ara,20705,5400.0 + 420.0
Italian Serie A,2023-11-11T19:45Z,Monza,Torino,Draw,1.0,1.0,1.0 - 1.0,U-Power Stadium,11777,5400.0 + 300.0
Italian Serie A,2023-11-06T19:45Z,Torino,Sassuolo,Torino,2.0,1.0,2.0 - 1.0,Olimpico Grande Torino,17698,5400.0 + 300.0
Italian Serie A,2023-10-28T16:00Z,Lecce,Torino,Torino,0.0,1.0,0.0 - 1.0,Stadio Ettore Giardiniero - Via del Mare,26123,5400.0 + 480.0
Italian Serie A,2023-10-21T16:00Z,Torino,Internazionale,Internazionale,0.0,3.0,0.0 - 3.0,Olimpico Grande Torino,26193,5400.0 + 480.0
Italian Serie A,2023-10-07T16:00Z,Juventus,Torino,Juventus,2.0,0.0,2.0 - 0.0,Allianz Stadium,39602,5400.0 + 420.0
Italian Serie A,2023-10-02T16:30Z,Torino,Hellas Verona,Draw,0.0,0.0,0.0 - 0.0,Olimpico Grande Torino,19419,5400.0 + 360.0
Italian Serie A,2023-09-27T18:45Z,Lazio,Torino,Lazio,2.0,0.0,2.0 - 0.0,Olimpico,35700,5400.0 + 480.0
